kode_bps,nama_bps,kode_dagri,nama_dagri,level
3513160001,OPO - OPO,35.13.15.2004,OPO OPO,desa
3513160002,RAWAN,35.13.15.2011,RAWAN,desa
3513160003,SEBORO,35.13.15.2012,SEBORO,desa
3513160004,KARANGREN,35.13.15.2010,KARANGREN,desa
3513160005,KEDUNGCALUK,35.13.15.2013,KEDUNGCALUK,desa
3513160006,SOKAAN,35.13.15.2017,"SOKA""AN",desa
3513160007,DAWUHAN,35.13.15.2016,DUWUHAN,desa
3513160008,GEBANGAN,35.13.15.2015,GEBANGAN,desa
3513160009,WIDORO,35.13.15.2014,WIDORO,desa
3513160010,SUMBERKATIMOHO,35.13.15.2009,SUMBERKATIMOHO,desa
3513160011,KREJENGAN,35.13.15.2007,KREJENGAN,desa
3513160012,KAMALKUNING,35.13.15.2005,KAMALKUNING,desa
3513160013,TANJUNGSARI,35.13.15.2006,TANJUNGSARI,desa
3513160014,PATEMON,35.13.15.2002,PATEMON,desa
3513160015,TEMENGGUNGAN,35.13.15.2001,TEMENGGUNGAN,desa
3513160016,JATIURIP,35.13.15.2003,JATIURIP,desa
3513160017,SENTONG,35.13.15.2008,SENTONG,desa
3513170001,SELOGUDIG KULON,35.13.16.2001,SELOGUDIG KULON,desa
3513170002,SELOGUDIG WETAN,35.13.16.2002,SELOGUDIG WETAN,desa
3513170003,KETOMPEN,35.13.16.2003,KETOMPEN,desa
3513170004,KARANGBONG,35.13.16.2004,KARANGBONG,desa
3513170005,KARANGPRANTI,35.13.16.2005,KARANGPRANTI,desa
3513170006,GEJUGAN,35.13.16.2006,GEJUGAN,desa
3513170007,KARANGGEGER,35.13.16.2007,KARANGGEGER,desa
3513170008,TANJUNG,35.13.16.2008,TANJUNG,desa
3513170009,PAJARAKAN KULON,35.13.16.2009,PEJARAKAN KULON,desa
3513170010,SUKOKERTO,35.13.16.2010,SUKOKERTO,desa
3513170011,SUKOMULYO,35.13.16.2011,SUKOMULYO,desa
3513170012,PENAMBANGAN,35.13.16.2012,PENAMBANGAN,desa
3513180001,SUMBERPOH,35.13.17.2005,SUMBERPOH,desa
3513180002,SUMBERDAWE,35.13.17.2004,SUMBERDAWE,desa
3513180003,BRABE,35.13.17.2001,BRABE,desa
3513180004,MARON KIDUL,35.13.17.2003,MARON KIDUL,desa
3513180005,GERONGAN,35.13.17.2002,GERONGAN,desa
3513180006,SATREYAN,35.13.17.2010,SATREYAN,desa
3513180007,BRANI WETAN,35.13.17.2011,BRANI WETAN,desa
