kode_bps,nama_bps,kode_dagri,nama_dagri,level
3212210001,MANGUNJAYA,32.12.23.2002,MANGUNJAYA,desa
3212210002,BUGISTUA,32.12.23.2004,BUGISTUA,desa
3212210003,BUGIS,32.12.23.2003,BUGIS,desa
3212210004,SALAMDARMA,32.12.23.2005,SALAMDARMA,desa
3212210005,KEDUNGWUNGU,32.12.23.2006,KEDUNGWUNGU,desa
3212210006,WANGUK,32.12.23.2007,WANGUK,desa
3212210007,LEMPUYANG,32.12.23.2008,LEMPUYANG,desa
3212210008,KOPYAH,32.12.23.2009,KOPYAH,desa
3212210009,ANJATAN BARU,32.12.23.2010,ANJATAN BARU,desa
3212210010,ANJATAN,32.12.23.2001,ANJATAN,desa
3212210011,CILANDAK,32.12.23.2011,CILANDAK,desa
3212210012,CILANDAK LOR,32.12.23.2012,CILANDAK LOR,desa
3212210013,ANJATAN UTARA,32.12.23.2013,ANJATAN UTARA,desa
3212220001,BOGOR,32.12.24.2001,BOGOR,desa
3212220002,SUKRA,32.12.24.2002,SUKRA,desa
3212220003,UJUNGGEBANG,32.12.24.2003,UJUNGGEBANG,desa
3212220004,TEGALTAMAN,32.12.24.2004,TAGALTAMAN,desa
3212220005,SUKRAWETAN,32.12.24.2005,SUKRA WETAN,desa
3212220006,SUMURADEM,32.12.24.2006,SUMURADEM,desa
3212220007,SUMURADEM TIMUR,32.12.24.2007,SUMURADEM TIMUR,desa
3212220008,KARANGLAYUNG,32.12.24.2017,KARANGLAYUNG,desa
3212221001,LIMPAS,32.12.31.2001,LIMPAS,desa
3212221002,PATROL,32.12.31.2005,PATROL,desa
3212221003,ARJASARI,32.12.31.2007,ARJASARI,desa
3212221004,SUKAHAJI,32.12.31.2008,SUKAHAJI,desa
3212221005,BUGEL,32.12.31.2006,BUGEL,desa
3212221006,PATROLLOR,32.12.31.2004,PATROL LOR,desa
3212221007,PATROL BARU,32.12.31.2003,PATROL BARU,desa
3212221008,MEKARSARI,32.12.31.2002,MEKARSARI,desa
3213010003,SUKAMANDI,32.13.01.2003,SUKAMANDI,desa
3213010004,CICADAS,32.13.01.2004,CICADAS,desa
3213010005,SAGALAHERANG,32.13.01.2005,SAGALAHERANG KIDUL,desa
3213010006,DAYEUHKOLOT,32.13.01.2006,DAYEUH KOLOT,desa
3213010011,LELES,32.13.01.2009,LELES,desa
3213010012,SAGALAHERANG KALER,32.13.01.2011,SAGALAHERANG KALER,desa
3213010013,CURUGAGUNG,32.13.01.2010,CURUGAGUNG,desa
3213011001,CIPANCAR,32.13.23.2006,CIPANCAR,desa
3213011002,CIKUJANG,32.13.23.2005,CIKUJANG,desa
3213011003,CIJENGKOL,32.13.23.2001,CIJENGKOL,desa
3213011004,CINTAMEKAR,32.13.23.2003,CINTAMEKAR,desa
3213011005,PONGGANG,32.13.23.2004,PONGGANG,desa
3213011006,TALAGASARI,32.13.23.2002,TALAGASARI,desa
3213020007,CURUGRENDENG,32.13.12.2007,CURUGRENDENG,desa
3213020008,SARIREJA,32.13.12.2012,SARIREJA,desa
3213020013,KUMPAY,32.13.12.2011,KUMPAY,desa
3213020014,TAMBAKAN,32.13.12.2008,TAMBAKAN,desa
3213020015,JALANCAGAK,32.13.12.2017,JALANCAGAK,desa
3213020016,BUNIHAYU,32.13.12.2009,BUNIHAYU,desa
3213020017,TAMBAKMEKAR,32.13.12.2014,TAMBAKMEKAR,desa
3213021001,CIATER,32.13.29.2002,CIATER,desa
3213021002,NAGRAK,32.13.29.2003,NAGRAK,desa
3213021003,CIBEUSI,32.13.29.2004,CIBEUSI,desa
3213021004,CIBITUNG,32.13.29.2005,CIBITUNG,desa
3213021005,SANCA,32.13.29.2007,SANCA,desa
3213021006,PALASARI,32.13.29.2006,PALASARI,desa
3213021007,CISAAT,32.13.29.2001,CISAAT,desa
3213030001,CUPUNAGARA,32.13.02.2001,CUPUNAGARA,desa
3213030002,CIMANGGU,32.13.02.2002,CIMANGGU,desa
3213030003,GARDUSAYANG,32.13.02.2003,GARDUSAYANG,desa
3213030004,MAYANG,32.13.02.2004,MAYANG,desa
3213030005,SUKAKERTI,32.13.02.2005,SUKAKERTI,desa
3213030008,DARMAGA,32.13.02.2007,DARMAGA,desa
3213030009,CISALAK,32.13.02.2008,CISALAK,desa
3213030010,CIGADOG,32.13.02.2011,CIGADOG,desa
3213030014,PAKUHAJI,32.13.02.2014,PAKUHAJI,desa
3213031001,PASANGGRAHAN,32.13.26.2002,PASANGGRAHAN,desa
3213031002,SINDANGSARI,32.13.26.2001,SINDANGSARI,desa
3213031003,BOJONGLOA,32.13.26.2003,BOJONGLOA,desa
3213031004,TENJOLAYA,32.13.26.2005,TENJOLAYA,desa
3213031005,SUKAMELANG,32.13.26.2004,SUKAMELANG,desa
3213031006,KASOMALANG WETAN,32.13.26.2006,KASOMALANG WETAN,desa
3213031007,KASOMALANG KULON,32.13.26.2007,KASOMALANG KULON,desa
