kode_bps,nama_bps,kode_dagri,nama_dagri,level
6102040008,BHAKTI MULYA,61.07.04.2004,BHAKTI MULYA,desa
6102040009,TIRTA KENCANA,61.07.04.2003,TIRTA KENCANA,desa
6102040014,BUMI EMAS,61.07.04.1001,BUMI EMAS,desa
6102040015,BANI AMAS,61.07.04.2006,BANI AMAS,desa
6102040017,SETIA BUDI,61.07.04.2009,SETIA BUDI,desa
6102040018,SEBALO,61.07.04.1010,SEBALO,desa
6102041001,BANGUN SARI,61.07.09.2004,BANGUN SARI,desa
6102041002,SETIA JAYA,61.07.09.2003,SETIA JAYA,desa
6102041004,SUMBER KARYA,61.07.09.2002,SUMBER KARYA,desa
6102041007,DHARMA BHAKTI,61.07.09.2001,DHARMA BHAKTI,desa
6102041008,BENTENG,61.07.09.2014,BENTENG,desa
6102041009,SEBENTE,61.07.09.2015,SEBENTE,desa
6102041010,LULANG,61.07.09.2013,LULANG,desa
6102041011,TERIAK,61.07.09.2016,TERIAK,desa
6102041012,TEMIASIO,61.07.09.2017,TEMIA SIO,desa
6102041013,BANA,61.07.09.2018,BANA,desa
6102041014,TUBAJUR,61.07.09.2012,TUBAJUR,desa
6102041015,AMPAR BENTENG,61.07.09.2007,AMPAR BENTENG,desa
6102041016,TANJUNG,61.07.09.2008,TANJUNG,desa
6102041017,TELIDIK,61.07.09.2009,TELIDIK,desa
6102041018,SEKARUH,61.07.09.2011,SEKARUH,desa
6102041019,PUTENG,61.07.09.2010,PUTENG,desa
6102041020,SEBETUNG MENYALA,61.07.09.2005,SEBETUNG MENYALA,desa
6102041021,MALO JELAYAN,61.07.09.2006,MALO JELAYAN,desa
6102042001,KARYA BHAKTI,61.07.14.2003,KARYA BHAKTI,desa
6102042002,SUKA MAJU,61.07.14.2004,SUKA MAJU,desa
6102042003,SUKA BANGUN,61.07.14.2002,SUKA BANGUN,desa
6102042004,CIPTA KARYA,61.07.14.2001,CIPTA KARYA,desa
6102050006,SERANGKAT,61.07.03.2003,SERANGKAT,desa
6102050008,LESABELA,61.07.03.2001,LESABELA,desa
6102050009,RODAYA,61.07.03.2004,RODAYA,desa
6102050010,SELES,61.07.03.2013,SELES,desa
6102050011,SIDAI,61.07.03.2012,SIDAI,desa
6102050016,LOMBA KARYA,61.07.03.2011,LOMBA KARYA,desa
6102050017,DAYUNG,61.07.03.2005,DAYUNG,desa
6102050018,JESAPE,61.07.03.2007,JESAPE,desa
6102050019,SUKA JAYA,61.07.03.2021,SUKA JAYA,desa
6102050020,SEMANGAT,61.07.03.2002,SEMANGAT,desa
6102050021,TEBUAH MARONG,61.07.03.2018,TEBUAH MARONG,desa
6102050022,SUKA DAMAI,61.07.03.2019,SUKA DAMAI,desa
6102051001,NANGKA,61.07.10.2001,NANGKA,desa
6102051002,MUHI BERSATU,61.07.10.2002,MUHI BERSATU,desa
6102051003,CEMPAKA PUTIH,61.07.10.2004,CEMPAKA PUTIH,desa
6102051004,SUKA MAJU,61.07.10.2003,SUKA MAJU,desa
6102051005,KIUNG,61.07.10.2005,KIUNG,desa
6102051006,SUTI SEMARANG,61.07.10.2007,SUTI SEMARANG,desa
6102051007,TAPEN,61.07.10.2008,TAPEN,desa
6102051008,KELAYU,61.07.10.2006,KELAYUK,desa
6102052001,SEREN SELIMBAU,61.07.13.2003,SEREN SELIMBAU,desa
