kode_bps,nama_bps,kode_dagri,nama_dagri,level
7107060001,BUSATO,71.08.06.2012,BUSATO,desa
7107060002,KAYUOGU,71.08.06.2009,KAYU OGU,desa
7107060003,BATU BANTAYO,71.08.06.2013,BATU BANTAYO,desa
7107060004,TONTULOW,71.08.06.2008,TUNTULOW,desa
7107060005,TOMBULANG,71.08.06.2007,TOMBULANG,desa
7107060006,BUKO,71.08.06.2005,BUKO,desa
7107060007,BUKO SELATAN,71.08.06.2011,BUKO SELATAN,desa
7107060008,DALAPULI,71.08.06.2004,DALAPULI,desa
7107060009,BATUTAJAM,71.08.06.2003,BATU TAJAM,desa
7107060010,DENGI,71.08.06.2006,DENGI,desa
7107060011,TUNTUNG,71.08.06.2002,TUNTUNG,desa
7107060012,KOMUS I,71.08.06.2001,KOMUS I,desa
7107060013,TANJUNG SIDUPA,71.08.06.2010,TANJUNG SIDUPA,desa
7107060014,TONTULOW UTARA,71.08.06.2015,TUNTULOW UTARA,desa
7107060015,BUKO UTARA,71.08.06.2018,BUKO UTARA,desa
7107060016,DALAPULI BARAT,71.08.06.2017,DALAPULI BARAT,desa
7107060017,DALAPULI TIMUR,71.08.06.2016,DALAPULI TIMUR,desa
7107060018,TOMBULANG TIMUR,71.08.06.2019,TAMBULANG TIMUR,desa
7107060019,TOMBULANG PANTAI,71.08.06.2020,TAMBULANG PANTAI,desa
7107060020,DUINI,71.08.06.2022,DUINI,desa
7107060021,TUNTUNG TIMUR,71.08.06.2021,TUNTUNG TIMUR,desa
7107060022,PADANGO,71.08.06.2014,PADANGO,desa
7108010001,BUANG,71.09.07.2001,BUANG,desa
7108010002,LAMANGGO,71.09.07.2003,LAMANGGO,desa
7108010003,DALINSAHENG,71.09.07.2004,DALINSAHENG,desa
7108010004,KARUNGO,71.09.07.2002,KARUNGO,desa
7108010005,TOPE,71.09.07.2005,TOPE,desa
7108020001,HUMBIA,71.09.10.2001,HUMBIA,desa
7108020002,KISIHANG,71.09.10.2002,KISIHANG,desa
7108020003,BIRAKIAMA,71.09.10.2003,BIRA KIAMA,desa
7108020004,BUHA,71.09.10.2004,BUHA,desa
7108020005,BATUMAWIRA,71.09.10.2005,BATUMAWIRA,desa
7108020006,BIRARIKEI,71.09.10.2006,BIRARIKEI,desa
7108030005,LAINGPATEHI,71.09.03.2012,LAINGPATEHI,desa
7108030006,PUMPENTE,71.09.03.2011,PUMPENTE,desa
7108030007,BAHOI,71.09.03.1001,BAHOI,desa
7108030008,MAHANGIANG,71.09.03.2008,MAHANGIANG,desa
7108030009,TULUSAN,71.09.03.2009,TULUSAN,desa
7108030010,HAASI,71.09.03.2010,HAASI,desa
7108030021,BOTO,71.09.03.2004,BOTO,desa
7108030022,BALEHUMARA,71.09.03.1002,BALEHUMARA,desa
7108030023,LESAH,71.09.03.2003,LESAH,desa
7108030024,MULENGEN,71.09.03.2007,MULENGAN,desa
7108030025,MOHONSAWANG,71.09.03.2005,MOHONGSAWANG,desa
7108030026,APENGSALA,71.09.03.2006,APENGSALA,desa
7108030027,LESAH RENDE,71.09.03.2013,LESAH RENDE,desa
7108030028,BARANGKAA PEHE,71.09.03.2014,BARANGKA PEHE,desa
7108030029,PAHIAMA,71.09.03.2015,PAHIAMA,desa
7108040003,BULANGAN,71.09.06.2001,BULANGAN,desa
7108040004,MINANGA,71.09.06.2002,MINANGA,desa
7108040005,W O,71.09.06.2003,WO,desa
7108040006,BAWOLEU,71.09.06.2004,BAWOLEU,desa
7108040007,LUMBO,71.09.06.2005,LUMBO,desa
7108040008,BAWO,71.09.06.2006,BAWO,desa
7108050001,TANAKI,71.09.05.2001,TANAKI,desa
7108050002,KAPETA,71.09.05.2002,KAPETA,desa
7108050003,TALAWID,71.09.05.2003,TALAWID,desa
7108050004,MAKOA/MEKAR SARI,71.09.05.2005,MAKOA,desa
7108050005,LAGHAENG,71.09.05.2004,LAGHAENG,desa
7108050006,BATUSENGGO,71.09.05.2006,BATUSENGGO,desa
7108050007,MAHUNENI,71.09.05.2007,MAHUNENI,desa
7108060001,TAPILE,71.09.04.2008,TAPILE,desa
7108060002,BUHIAS,71.09.04.2007,BUHIAS,desa
7108060003,BALIRANGEN,71.09.04.2006,BALIRANGENG,desa
7108060004,BIAU,71.09.04.2005,BIAU,desa
7108060005,BANDIL,71.09.04.2004,BANDIL,desa
7108060006,SAWANG,71.09.04.2003,SAWANG,desa
7108060007,PANGIROLONG,71.09.04.2002,PANGIROLONG,desa
7108060008,MALA,71.09.04.2001,MALA,desa
7108060009,BINALU,71.09.04.2010,BINALU,desa
7108060010,KALIHIANG,71.09.04.2011,KALIHIANG,desa
7108060011,LAHOPANG,71.09.04.2009,LAHOPANG,desa
7108060012,PAHEPA,71.09.04.2012,PAHEPA,desa
7108060013,MATOLE,71.09.04.2014,MATOLE,desa
7108060014,BIAU SEHA,71.09.04.2013,BIAU SEHA,desa
7108070006,PELINGSAWANG,71.09.02.2001,PELING SAWANG,desa
7108070007,PELING,71.09.02.2009,PELING,desa
7108070008,PASENG,71.09.02.1002,PASENG,desa
