kode_bps,nama_bps,kode_dagri,nama_dagri,level
3518110001,SAMBIROTO,35.18.10.2001,SAMBIROTO,desa
3518110002,GEBANG KEREP,35.18.10.2002,GEBANGKEREP,desa
3518110003,BARON,35.18.10.2003,BARON,desa
3518110004,WAUNG,35.18.10.2004,WAUNG,desa
3518110005,KEMLOKOLEGI,35.18.10.2005,KEMLOKOLEGI,desa
3518110006,KEMADUH,35.18.10.2006,KEMADUH,desa
3518110007,GARU,35.18.10.2007,GARU,desa
3518110008,JEKEK,35.18.10.2008,JEKEK,desa
3518110009,JAMBI,35.18.10.2011,JAMBI,desa
3518110010,MABUNG,35.18.10.2010,MABUNG,desa
3518110011,KATERBAN,35.18.10.2009,KATERBAN,desa
3518120001,SUMBERJO,35.18.17.2001,SUMBERJO,desa
3518120002,NGLINGGO,35.18.17.2002,NGLINGGO,desa
3518120003,MOJOSETO,35.18.17.2003,MOJOSETO,desa
3518120004,KARANGSEMI,35.18.17.2004,KARANGSEMI,desa
3518120005,SENJAYAN,35.18.17.2005,SENJAYAN,desa
3518120006,KEDUNG GLUGU,35.18.17.2006,KEDUNGGLUGU,desa
3518120007,JAAN,35.18.17.2007,"JA""AN",desa
3518120008,SUMBER AGUNG,35.18.17.2008,SUMBERAGUNG,desa
3518120009,KETAWANG,35.18.17.2009,KETAWANG,desa
3518120010,NGUJUNG,35.18.17.2010,NGUNJUNG,desa
3518120011,LOSARI,35.18.17.2017,LOSARI,desa
3518120012,SANGGRAHAN,35.18.17.2011,SANGGRAHAN,desa
3518120013,BALONG GEBANG,35.18.17.2012,BALONGGEBANG,desa
3518120014,PANDEAN,35.18.17.2013,PANDEAN,desa
3518120015,CAMPUR,35.18.17.2014,CAMPUR,desa
3518120016,GONDANG KULON,35.18.17.2015,GONDANGKULON,desa
3518120017,SENGGOWAR,35.18.17.2016,SENGGOWAR,desa
3518130001,SUMENGKO,35.18.12.2001,SUMENGKO,desa
3518130002,KAPAS,35.18.12.1002,KAPAS,desa
3518130003,BLITARAN,35.18.12.2003,BLITARAN,desa
3518130004,KEDUNG SOKO,35.18.12.2004,KEDUNGSOKO,desa
3518130005,NGLUNDO,35.18.12.2005,NGLUDO,desa
3518130006,BUNGUR,35.18.12.2006,BUNGUR,desa
3518130007,SUKOMORO,35.18.12.1007,SOKOMORO,desa
3518130008,PEHSERUT,35.18.12.2008,PEHSERUT,desa
3518130009,NGRAMI,35.18.12.2009,NGRAMI,desa
3518130010,BAGOR WETAN,35.18.12.2010,BAGOR WETAN,desa
3518130011,PUTREN,35.18.12.2011,PUTREN,desa
3518130012,NGRENGKET,35.18.12.2012,NGRENGKET,desa
3518140001,JATIREJO,35.18.13.1001,JATIREJO,desa
3518140002,PLOSO,35.18.13.1002,PLOSO,desa
3518140003,KRAMAT,35.18.13.1004,KRAMAT,desa
3518140004,PAYAMAN,35.18.13.1003,PAYAMAN,desa
3518140005,KARTOHARJO,35.18.13.1009,KARTOHARJO,desa
3518140006,CANGKRINGAN,35.18.13.1010,CANGKRIMAN,desa
3518140007,BOGO,35.18.13.1011,BOGO,desa
3518140008,KAUMAN,35.18.13.1008,KAUMAN,desa
3518140009,GANUNG KIDUL,35.18.13.1005,GANUNG KIDUL,desa
3518140010,MANGUN DIKARAN,35.18.13.1007,MANGUNDIKARAN,desa
3518140011,WERUNGOTOK,35.18.13.1006,WERUNGOTOK,desa
3518140012,BEGADUNG,35.18.13.1013,BEGADUNG,desa
3518140013,RINGIN ANOM,35.18.13.1012,RINGINANOM,desa
3518140014,KEDUNG DOWO,35.18.13.2014,KEDUNGDOWO,desa
3518140015,BALONG PACUL,35.18.13.2015,BALONGPACUL,desa
3518150001,BALONGREJO,35.18.14.2001,BALONGREJO,desa
3518150002,GIRIREJO,35.18.14.2002,GIRIREJO,desa
3518150003,PESUDUKUH,35.18.14.2003,PESUDUKUH,desa
3518150004,SEKAR PUTIH,35.18.14.2004,SEKARPUTIH,desa
3518150005,BUDURAN,35.18.14.2005,BUDURAN,desa
3518150006,NGUMPUL,35.18.14.2006,NGUMPUL,desa
3518150007,BAGOR KULON,35.18.14.2007,BAGOR KULON,desa
3518150008,PETAK,35.18.14.2008,PETAK,desa
3518150009,PARON,35.18.14.2009,PARON,desa
