kode_bps,nama_bps,kode_dagri,nama_dagri,level
6302031001,PULAU KERAYAAN,63.02.20.2003,PULAU KERAYAAN,desa
6302031002,KERAYAAN UTARA,63.02.20.2004,KERAYAAN UTARA,desa
6302031003,PULAU KERUMPUTAN,63.02.20.2006,PULAU KERUMPUTAN,desa
6302031004,PULAU KERASIAN,63.02.20.2005,PULAU KERASIAN,desa
6302031005,TELUK KEMUNING,63.02.20.2008,TELUK KEMUNING,desa
6302031006,TELUK ARU,63.02.20.2007,TELUK ARU,desa
6302031007,TANJUNG LALAK SELATAN,63.02.20.2002,TANJUNG LALAK SELATAN,desa
6302031008,TANJUNG LALAK UTARA,63.02.20.2001,TANJUNG LALAK UTARA,desa
6302031009,OKA-OKA,63.02.20.2009,OKA-OKA,desa
6302040001,TANJUNG PENGHARAPAN,63.02.04.2008,TANJUNG PENGHARAPAN,desa
6302040002,BATU TUNAU,63.02.04.2001,BATU TUNAU,desa
6302040003,SEJAKAH,63.02.04.2002,SEJAKAH,desa
6302040004,BEKAMBIT,63.02.04.2003,BEKAMBIT,desa
6302040005,BEKAMBIT ASRI,63.02.04.2014,BEKAMBIT ASRI,desa
6302040006,BETUNG,63.02.04.2009,BETUNG,desa
6302040007,LANGKANG BARU,63.02.04.2004,LANGKANG BARU,desa
6302040008,KARANG SARI INDAH,63.02.04.2013,KARANGSARI INDAH,desa
6302040009,SUNGAI LIMAU,63.02.04.2006,SUNGAI LIMAU,desa
6302040010,LANGKANG LAMA,63.02.04.2005,LANGKANG LAMA,desa
6302040011,KULIPAK,63.02.04.2012,KULIPAK,desa
6302040012,BERANGAS,63.02.04.2007,BERANGAS,desa
6302040013,TELUK MESJID,63.02.04.2010,TELUK MESJID,desa
6302040014,TELUK GOSONG,63.02.04.2011,TELUK GOSONG,desa
6302050001,SEKAPUNG,63.02.05.2001,SEKAPUNG,desa
6302050002,KANIBUNGAN,63.02.05.2002,KANIBUNGAN,desa
6302050003,MANDIN,63.02.05.2003,MANDIN,desa
6302050004,BELAMBUS,63.02.05.2006,BALAMBUS,desa
6302050005,SARAKAMAN,63.02.05.2004,SERAKAMAN,desa
6302050006,SUNGAI BALI,63.02.05.2005,SUNGAI BALI,desa
6302050007,RAMPA,63.02.05.2007,RAMPA,desa
6302050008,UJUNG,63.02.05.2008,UJUNG,desa
6302060007,MEGASARI,63.02.06.2009,MEGASARI,desa
6302060008,SEBELIMBINGAN,63.02.06.2010,SEBELIMBINGAN,desa
6302060009,GUNUNG SARI,63.02.06.2025,GUNUNG SARI,desa
6302060010,STAGEN,63.02.06.2011,STAGEN,desa
6302060011,GUNUNG ULIN,63.02.06.2022,GUNUNG ULIN,desa
6302060012,SUNGAI TAIB,63.02.06.2013,SUNGAI TAIB,desa
6302060013,SEMAYAP,63.02.06.2014,SEMAYAP,desa
6302060014,DIRGAHAYU,63.02.06.2015,DIRGAHAYU,desa
6302060016,KOTABARU HULU,63.02.06.1001,KOTABARU HULU,desa
6302060017,RAMPA,63.02.06.2012,RAMPA,desa
6302061001,SEMISIR,63.02.16.2001,SEMISIR,desa
6302061002,SUNGAI PASIR,63.02.16.2002,SUNGAI PASIR,desa
6302061003,SALINO,63.02.16.2007,SALINO,desa
6302061004,MEKAR PURA,63.02.16.2003,MEKARPURA,desa
6302061005,SELARU,63.02.16.2004,SELARU,desa
6302061006,SUNGUP KANAN,63.02.16.2005,SUNGUP KANAN,desa
6302061007,PANTAI BARU,63.02.16.2006,PANTAI BARU,desa
6302120009,SUKA MAJU,63.02.07.2014,SUKA MAJU,desa
6302120010,PANTAI,63.02.07.2007,PANTAI,desa
6302120011,TANJUNG PANGGA,63.02.07.2004,TANJUNG PANGGA,desa
6302120012,PEMBELANCANAN,63.02.07.2005,PEMBELACANAN,desa
6302120013,BUMI ASIH,63.02.07.2017,BUMI ASIH,desa
6302120014,SUNGAI NIPAH,63.02.07.2006,SUNGAI NIPAH,desa
6302120015,PANTAI BARU,63.02.07.2016,PANTAI BARU,desa
6302120016,SANGKING BARU,63.02.07.2009,SANGKING BARU,desa
6302120017,SUNGAI KUPANG JAYA,63.02.07.2015,SUNGAI KUPANG JAYA,desa
6302121001,TARJUN,63.02.17.2002,TARJUN,desa
6302121002,MANDALA,63.02.17.2007,MANDALA,desa
6302121003,LANGADAI,63.02.17.2003,LANGADAI,desa
6302121004,PELAJU BARU,63.02.17.2005,PELAJAU BARU,desa
6302121005,SERONGGA,63.02.17.2001,SERONGGA,desa
6302121006,TEGAL REJO,63.02.17.2006,TEGAL REJO,desa
6302121007,TELAGA SARI,63.02.17.2008,TELAGASARI,desa
6302121008,PULAU PANCI,63.02.17.2004,PULAU PANCI,desa
6302121009,SAHAPI,63.02.17.2009,SAHAPI,desa
6302130001,MANGKIRANA,63.02.08.2009,MANGKIRANA,desa
6302130002,CANTUNG KIRI HILIR,63.02.08.2001,CANTUNG KIRI HILIR,desa
6302130003,BANUA LAWAS,63.02.08.2003,BANUA LAWAS,desa
6302130004,SIDOMULYO,63.02.08.2010,SIDOMULYO,desa
6302130005,KARANG PAYAU,63.02.08.2002,KARANG PAYAU,desa
6302130006,SUNGAI KUPANG,63.02.08.2004,SUNGAI KUPANG,desa
6302130007,BANGKALAN MELAYU,63.02.08.2005,BANGKALAAN MELAYU,desa
6302130008,KARANG LIWAR,63.02.08.2008,KARANG LIWAR,desa
