kode_bps,nama_bps,kode_dagri,nama_dagri,level
3201080010,WARUNG MENTENG,32.01.28.2003,WARUNG MENTENG,desa
3201080011,CIJERUK,32.01.28.2001,CIJERUK,desa
3201080012,CIPELANG,32.01.28.2002,CIPELANG,desa
3201080013,CIBALUNG,32.01.28.2006,CIBALUNG,desa
3201080014,CIPICUNG,32.01.28.2005,CIPICUNG,desa
3201080015,TANJUNG SARI,32.01.28.2009,TANJUNGSARI,desa
3201080016,TAJUR HALANG,32.01.28.2004,TAJUR HALANG,desa
3201080017,PALASARI,32.01.28.2008,PALASARI,desa
3201080018,SUKAHARJA,32.01.28.2007,SUKAHARJA,desa
3201081001,TUGU JAYA,32.01.38.2006,TUGUJAYA,desa
3201081002,CIGOMBONG,32.01.38.2001,CIGOMBONG,desa
3201081003,WATESJAYA,32.01.38.2002,WATESJAYA,desa
3201081004,SROGOL,32.01.38.2004,SROGOL,desa
3201081005,CIBURUY,32.01.38.2003,CIBURUY,desa
3201081006,CISALADA,32.01.38.2005,CISALADA,desa
3201081007,PASIRJAYA,32.01.38.2007,PASIRJAYA,desa
3201081008,CIBURAYUT,32.01.38.2008,CIBURAYUT,desa
3201081009,CIADEG,32.01.38.2009,CIADEG,desa
3201090001,PASIR BUNCIR,32.01.27.2010,BASIR BUNCIR,desa
3201090002,CINAGARA,32.01.27.2006,CINAGARA,desa
3201090003,TANGKIL,32.01.27.2012,TANGKIL,desa
3201090004,PASIR MUNCANG,32.01.27.2001,PASIR MUNCANG,desa
3201090005,MUARA JAYA,32.01.27.2009,MUARA JAYA,desa
3201090006,CARINGIN,32.01.27.2004,CARINGIN,desa
3201090007,LEMAH DUHUR,32.01.27.2011,LEMAH DUHUR,desa
3201090008,CIMANDE,32.01.27.2007,CIMANDE,desa
3201090009,PANCAWATI,32.01.27.2008,PANCAWATI,desa
3201090010,CIDERUM,32.01.27.2003,CIDERUM,desa
3201090011,CIHERANG PONDOK,32.01.27.2005,CIHERANG PONDOK,desa
3201090012,CIMANDE HILIR,32.01.27.2002,CIMANDE HILIR,desa
3201100001,CILEUNGSI,32.01.24.2001,CILEUNGSI,desa
3201100002,CITAPEN,32.01.24.2002,CITAPEN,desa
3201100003,CIBEDUG,32.01.24.2003,CIBEDUG,desa
3201100004,BOJONG MURNI,32.01.24.2010,BOJONG MURNI,desa
3201100005,JAMBU LUWUK,32.01.24.2004,JAMBULUWUK,desa
3201100006,BANJAR SARI,32.01.24.2005,BANJARSARI,desa
3201100007,BANJAR WANGI,32.01.24.2011,BANJAR WANGI,desa
3201100008,BITUNG SARI,32.01.24.2013,BITUNGSARI,desa
3201100009,TELUK PINANG,32.01.24.2006,TELUK PINANG,desa
3201100010,BANJAR WARU,32.01.24.2007,BANJAR WARU,desa
3201100011,CIAWI,32.01.24.2012,CIAWI,desa
3201100012,BENDUNGAN,32.01.24.2008,BENDUNGAN,desa
3201100013,PANDANSARI,32.01.24.2009,PANDAN SARI,desa
3201110001,CITEKO,32.01.25.2005,CITEKO,desa
3201110002,CIBEUREUM,32.01.25.2003,CIBEUREUM,desa
3201110003,TUGU SELATAN,32.01.25.2006,TUGU SELATAN,desa
3201110004,TUGU UTARA,32.01.25.2009,TUGU UTARA,desa
3201110005,BATU LAYANG,32.01.25.2001,BATULAYANG,desa
3201110006,CISARUA,32.01.25.1010,CISARUA,desa
3201110007,KOPO,32.01.25.2008,KOPO,desa
3201110008,LEUWIMALANG,32.01.25.2007,LEUWIMALANG,desa
3201110009,JOGJOGAN,32.01.25.2002,JOGJOGAN,desa
3201110010,CILEMBER,32.01.25.2004,CILEMBER,desa
3201120001,SUKARESMI,32.01.26.2011,SUKARESMI,desa
3201120002,SUKAGALIH,32.01.26.2008,SUKAGALIH,desa
3201120003,KUTA,32.01.26.2002,KUTA,desa
3201120004,SUKAKARYA,32.01.26.2004,SUKAKARYA,desa
3201120005,SUKAMANAH,32.01.26.2007,SUKAMANAH,desa
3201120006,SUKAMAJU,32.01.26.2001,SUKAMAJU,desa
3201120007,SUKAMAHI,32.01.26.2010,SUKAMAHI,desa
3201120008,GADOG,32.01.26.2003,GADOG,desa
3201120009,CIPAYUNG,32.01.26.2006,CIPAYUNG DATAR,desa
3201120010,CIPAYUNG GIRANG,32.01.26.2009,CIPAYUNG GIRANG,desa
3201120011,MEGAMENDUNG,32.01.26.2005,MEGAMENDUNG,desa
3201120012,PASIR ANGIN,32.01.26.2012,PASIR ANGIN,desa
3201130001,CIBANON,32.01.04.2004,CIBANON,desa
3201130002,GUNUNG GEULIS,32.01.04.2001,GUNUNGGEULIS,desa
3201130003,NAGRAK,32.01.04.2005,NAGRAK,desa
3201130004,SUKATANI,32.01.04.2006,SUKATANI,desa
3201130005,SUKARAJA,32.01.04.2007,SUKARAJA,desa
3201130006,CIKEAS,32.01.04.2008,CIKEAS,desa
3201130007,CADAS NGAMPAR,32.01.04.2012,CADASNGAMPAR,desa
3201130008,PASIRLAJA,32.01.04.2013,PASIRLAJA,desa
3201130009,CIJUJUNG,32.01.04.2011,CIJUJUNG,desa
3201130010,CIMANDALA,32.01.04.2010,CIMANDALA,desa
3201130011,PASIR JAMBU,32.01.04.2009,PASIR JAMBU,desa
3201130012,CILEBUT TIMUR,32.01.04.2002,CILEBUT TIMUR,desa
3201130013,CILEBUT BARAT,32.01.04.2003,CILEBUT BARAT,desa
3201140001,CIJAYANTI,32.01.05.2001,CIJAYANTI,desa
3201140002,BOJONG KONENG,32.01.05.2009,BOJONG KONENG,desa
3201140003,KARANG TENGAH,32.01.05.2004,KARANGTENGAH,desa
3201140004,SUMUR BATU,32.01.05.2002,SUMURBATU,desa
3201140005,BABAKAN MADANG,32.01.05.2008,BABAKAN MADANG,desa
3201140006,CITARINGGUL,32.01.05.2007,CITARINGGUL,desa
3201140007,CIPAMBUAN,32.01.05.2005,CIPAMBUAN,desa
