kode_bps,nama_bps,kode_dagri,nama_dagri,level
6106030009,KARYA BARU,61.04.02.2008,KARYA BARU,desa
6106030016,RUNJAI JAYA,61.04.02.2004,RUNJAI JAYA,desa
6106030017,SUKA KARYA,61.04.02.2001,SUKA KARYA,desa
6106030018,BELABAN,61.04.02.2003,BELABAN,desa
6106030019,RANDAI,61.04.02.2002,RANDAI,desa
6106030020,RIAM BATU GADING,61.04.02.2020,RIAM BATU GADING,desa
6106030021,BATU PAYUNG DUA,61.04.02.2021,BATU PAYUNG DUA,desa
6106030022,BANTAN SARI,61.04.02.2022,BANTAN SARI,desa
6106030023,PELANJAU JAYA,61.04.02.2023,PELANJAU JAYA,desa
6106030024,RANGKUNG,61.04.02.2024,RANGKUNG,desa
6106031001,SUKASARI,61.04.22.2005,SUKA SARI,desa
6106031002,SUKARAJA,61.04.22.2002,SUKARAJA,desa
6106031003,BUKIT KELAMBING,61.04.22.2003,BUKIT KELAMBING,desa
6106031004,MUNTAI,61.04.22.2004,MUNTAI,desa
6106031005,SUKAHARJA,61.04.22.2006,SUKAHARJA,desa
6106031006,SUKAMULYA,61.04.22.2001,SUKA MULIA,desa
6106031007,TANAH HITAM,61.04.22.2007,TANAH HITAM,desa
6106031008,PANTAI KETIKAL,61.04.22.2008,PANTAI KETIKAL,desa
6106032001,MEMBULUH BARU,61.04.21.2007,MEMBULUH BARU,desa
6106032002,GAHANG,61.04.21.2008,GAHANG,desa
6106032003,AIR UPAS,61.04.21.2001,AIR UPAS,desa
6106032004,AIR DURIAN JAYA,61.04.21.2003,AIR DURIAN JAYA,desa
6106032005,SARI BEKAYAS,61.04.21.2002,SARI BEKAYAS,desa
6106032006,BANDA SARI,61.04.21.2006,BANDA SARI,desa
6106032007,SUKARIA,61.04.21.2005,SUKA RIA,desa
6106032008,HARAPAN BARU,61.04.21.2004,HARAPAN BARU,desa
6106032009,MEKAR JAYA,61.04.21.2009,MEKAR JAYA,desa
6106040001,BIKU SARANA,61.04.14.2005,BIKU SARANA,desa
6106040002,PENYARANG,61.04.14.2004,PENYARANG,desa
6106040003,PERIANGAN,61.04.14.2001,PERIANGAN,desa
6106040004,TANGGERANG,61.04.14.2002,TANGGERANG,desa
6106040005,KESUMA JAYA,61.04.14.2003,KESUMA JAYA,desa
6106040006,SEMANTUN,61.04.14.2006,SEMANTUN,desa
6106040007,RIAM DANAU KANAN,61.04.14.2007,RIAM DANAU KANAN,desa
6106040008,LIMPANG,61.04.14.2008,LIMPANG,desa
6106040009,PASIR MAYANG,61.04.14.2009,PASIR MAYANG,desa
6106040010,TEBING BERSERI,61.04.14.2010,TEBING BERSERI,desa
6106040011,RANGGA INTAN,61.04.14.2012,RANGGA INTAN,desa
6106040012,DERANUK,61.04.14.2011,DERANUK,desa
6106040013,PANGKALAN SUKA,61.04.14.2013,PANGKALAN SUKA,desa
6106040014,TELUK RUNJAI,61.04.14.2014,TELUK RUNJAI,desa
6106040015,ASAM JELAI,61.04.14.2015,ASAM JELAI,desa
6106040016,AIR DUA,61.04.14.2016,AIR DUA,desa
6106040017,SIDAHARI,61.04.14.2017,SIDAHARI,desa
6106040018,KARANG DANGIN,61.04.14.2019,KARANG DANGIN,desa
6106040019,KUSIK BATU LAPU,61.04.14.2018,KUSIK BATU LAPU,desa
6106040020,PERIGI,61.04.14.2020,PERIGI,desa
6106040021,BAYAM RAYA,61.04.14.2021,BAYAM RAYA,desa
6106040022,PANGKALAN PAKET,61.04.14.2022,PANGKALAN PAKET,desa
6106050001,NANGA KELAMPAI,61.04.13.2005,NANGA KELAMPAI,desa
6106050002,PEMUATAN JAYA,61.04.13.2013,PEMUATAN JAYA,desa
6106050003,KALIMAS BARU,61.04.13.2009,KALIMAS BARU,desa
6106050004,BELABAN TUJUH,61.04.13.2020,BELABAN TUJUH,desa
6106050005,MAHAWA,61.04.13.2004,MAHAWA,desa
6106050006,SERENGKAH,61.04.13.2003,SERENGKAH,desa
6106050007,NATAI PANJANG,61.04.13.2002,NATAI PANJANG,desa
6106050008,TUMBANG TITI,61.04.13.2001,TUMBANG TITI,desa
6106050009,BATU TAJAM,61.04.13.2006,BATU TAJAM,desa
6106050010,SENGKAHARAK,61.04.13.2016,SENGKAHARAK,desa
6106050022,SEGAR WANGI,61.04.13.2023,SEGAR WANGI,desa
6106050023,PETEBANG JAYA,61.04.13.2024,PETEBANG JAYA,desa
6106050024,AUR GADING,61.04.13.2025,AUR GADING,desa
6106050025,BERINGIN RAYO,61.04.13.2026,BERINGIN RAYO,desa
6106050026,TITI BARU,61.04.13.2027,TITI BARU,desa
6106050027,TANJUNG BEULANG,61.04.13.2028,TANJUNG BEULANG,desa
6106050028,BATU BERANSAH,61.04.13.2029,BATU BERANSAK,desa
6106050029,SERENGKAH KANAN,61.04.13.2030,SERENGKAH KANAN,desa
6106050030,SEPAUHAN JAYA,61.04.13.2031,SEPAUHAN RAYA,desa
6106050031,JUNGKAL,61.04.13.2032,JUNGKAL,desa
6106050032,JELAYAN,61.04.13.2033,JELAYAN,desa
6106050033,SUKA DAMAI,61.04.13.2035,SUKA DAMAI,desa
6106050034,TANJUNG MALOI,61.04.13.2036,TANJUNG MALOI,desa
6106050035,PENGATAPAN RAYA,61.04.13.2034,PENGATAPAN RAYA,desa
6106050036,SEPURING INDAH,61.04.13.2037,SEPURING INDAH,desa
6106051001,LALANG PANJANG,61.04.24.2002,LALANG PANJANG,desa
6106051002,PEBIHINGAN,61.04.24.2001,PEBIHINGAN,desa
6106051003,SEMAYOK BARU,61.04.24.2003,SEMAYOK BARU,desa
6106051004,MUARA GERUNGGANG,61.04.24.2004,MUARA GERUNGGANG,desa
6106051005,USAHA BARU,61.04.24.2005,USAHA BARU,desa
6106051006,KERTA BARU,61.04.24.2006,KERTA BARU,desa
6106051007,MUARA SEMAYOK,61.04.24.2007,MUARA SEMAYOK,desa
6106052001,KEPULUK,61.04.25.2007,KEPULUK,desa
6106052002,SUKA MULYA,61.04.25.2003,SUKA MULYA,desa
6106052003,SUNGAI MELAYU BARU,61.04.25.2002,SUNGAI MELAYU BARU,desa
6106052004,BERINGIN JAYA,61.04.25.2001,BERINGIN JAYA,desa
6106052005,PIANSAK,61.04.25.2005,PIANSAK,desa
6106052006,JAIRAN JAYA,61.04.25.2006,JAIRAN JAYA,desa
6106052007,KARYA MUKTI,61.04.25.2004,KARYA MUKTI,desa
6106052008,SUNGAI MELAYU JAYA,61.04.25.2008,SUNGAI MELAYU JAYA,desa
6106052009,SEI MELAYU,61.04.25.2009,SUNGAI MELAYU,desa
6106052010,MEKAR JAYA,61.04.25.2010,MEKAR JAYA,desa
6106052011,MAKMUR ABADI,61.04.25.2011,MAKMUR ABADI,desa
6106060001,SUNGAI NANJUNG,61.04.12.2016,SUNGAI NANJUNG,desa
6106060002,PESAGUAN KANAN,61.04.12.2014,PESAGUAN KANAN,desa
6106060003,PESAGUAN KIRI,61.04.12.2007,PESAGUAN KIRI,desa
6106060004,SUNGAI BAKAU,61.04.12.2012,SUNGAI BAKAU,desa
6106060005,PEMATANG GADUNG,61.04.12.2013,PEMATANG GADUNG,desa
6106060006,SUNGAI BESAR,61.04.12.2015,SUNGAI BESAR,desa
6106060007,SUNGAI PELANG,61.04.12.2008,SUNGAI PELANG,desa
6106060008,SUNGAI JAWI,61.04.12.2006,SUNGAI JAWI,desa
6106060009,KEMUNING BIUTAK,61.04.12.2017,KEMUNING BIUTAK,desa
6106060010,HARAPAN BARU,61.04.12.2018,HARAPAN BARU,desa
6106060011,PAGAR MENTIMUN,61.04.12.2019,PAGAR MENTIMUN,desa
6106061001,PADANG,61.04.18.2003,PADANG,desa
6106061002,TUAN TUAN,61.04.18.1004,TUAN-TUAN,desa
6106061003,NEGERI BARU,61.04.18.2008,NEGERI BARU,desa
6106061004,MULIA KERTA,61.04.18.1002,MULIA KERTA,desa
6106061005,SUNGAI KINJIL,61.04.18.2005,SUNGAI KINJIL,desa
6106061006,KAUMAN,61.04.18.1001,KAUMAN,desa
6106061007,BARU,61.04.18.2007,BARU,desa
6106061008,SUKA BARU,61.04.18.2006,SUKA BARU,desa
6106061009,BANJAR,61.04.18.1009,BANJAR,desa
6106061010,MEKAR SARI,61.04.18.2010,MEKAR SARI,desa
6106061011,KINJIL PESISIR,61.04.18.2011,KINJIL PESISIR,desa
6106070012,SUNGAI PUTRI,61.04.01.2011,SUNGAI PUTRI,desa
6106070014,TANJUNG BAIK BUDI,61.04.01.2012,TANJUNG BAIK BUDI,desa
