kode_bps,nama_bps,kode_dagri,nama_dagri,level
1208030013,BANGUN,12.09.14.2007,BANGUN,desa
1208030014,PERSATUAN,12.09.14.2008,PERSATUAN,desa
1208030015,PERKEBUNAN TUNGGUL 45,12.09.14.2006,TUNGGUL,desa
1208030016,ORIKA,12.09.14.2004,ORIKA,desa
1208030017,BARU,12.09.14.2011,BARU,desa
1208030018,MANIS,12.09.14.2005,MANIS,desa
1208030019,PULAU RAKYAT PEKAN,12.09.14.2003,PULAU RAKYAT PEKAN,desa
1208030020,PULAU RAKYAT TUA,12.09.14.2002,PULAU RAKYAT TUA,desa
1208030021,SEI PIRING,12.09.14.2001,SEI PIRING,desa
1208030022,OFA/PADANG MAHONDANG,12.09.14.2010,OFA PADANG MAHONDANG,desa
1208030023,PADANG MAHONDANG,12.09.14.2009,PADANG MAHONDANG,desa
1208030024,MEKAR SARI,12.09.14.2012,MEKAR SARI,desa
1208031007,SENGON SARI,12.09.18.2009,SENGON SARI,desa
1208031008,LOBU JIUR,12.09.18.2010,LOBU JIUR,desa
1208031009,AEK LOBA PEKAN,12.09.18.1001,AEK LOBA PEKAN,desa
1208031010,AEK LOBA AFDELING I,12.09.18.2002,AEK LOBA AFD I,desa
1208031011,ALANG BONBON,12.09.18.2003,ALANG BONBON,desa
1208031012,RAWA SARI,12.09.18.2011,RAWA SARI,desa
1208031013,AEK LOBA,12.09.18.2013,AEK LOBA,desa
1208032001,AEK BANGE,12.09.32.2001,AEK BANGE,desa
1208032002,LEDONG BARAT,12.09.32.2004,LEDONG BARAT,desa
1208032003,LEDONG TIMUR,12.09.32.2006,LEDONG TIMUR,desa
1208032004,AEK KORSIK,12.09.32.2002,AEK KORSIK,desa
1208032005,AEK LEDONG,12.09.32.2003,AEK LEDONG,desa
1208032006,AEK NABUNTU,12.09.32.2005,AEK NABUNTU,desa
1208032007,PADANG SIPIROK,12.09.32.2007,PADANG SIPIROK,desa
1208040001,PERBANGUNAN,12.09.11.2015,PERBANGUNAN,desa
1208040002,PERTAHANAN,12.09.11.2014,PERTAHANAN,desa
1208040003,BANGUN BARU,12.09.11.2016,BANGUN BARU,desa
1208040005,SEI PAHAM,12.09.11.2011,SEI PAHAM,desa
1208040006,SEI KEPAYANG KANAN,12.09.11.2010,SEI KEPAYANG KANAN,desa
1208040007,SEI KEPAYANG TENGAH,12.09.11.2008,SEI KEPAYANG TENGAH,desa
1208041001,SEI KEPAYANG KIRI,12.09.24.2006,SEI KEPAYANG KIRI,desa
1208041002,SEI LENDIR,12.09.24.2005,SEI LENDIR,desa
1208041003,SEI TUALANG PANDAU,12.09.24.2004,SEI TUALANG PANDAU,desa
1208041004,SEI SERINDAN,12.09.24.2003,SEI SERINDAN,desa
1208041005,SEI JAWI JAWI,12.09.24.2002,SEI JAWI-JAWI,desa
1208041006,SEI NANGKA,12.09.24.2001,SEI NANGKA,desa
1208042001,SEI LUNANG,12.09.25.2001,SEI LUNANG,desa
1208042002,SEI PASIR,12.09.25.2002,SEI PASIR,desa
1208042003,SEI TEMPURUNG,12.09.25.2003,SEI TEMPURUNG,desa
1208042004,SARANG HELANG,12.09.25.2004,SARANG HELANG,desa
1208042005,SEI SEMBILANG,12.09.25.2005,SEI SEMBILANG,desa
1208050001,KAPIAS BATU VIII,12.09.10.2005,KAPIAS BATU VIII,desa
1208050002,PEMATANG SUNGAI BARU,12.09.10.2006,PEMATANG SEI BARU,desa
1208050003,SEI APUNG JAYA,12.09.10.2008,SEI APUNG JAYA,desa
1208050004,SUNGAI APUNG,12.09.10.2007,SEI APUNG,desa
1208050005,ASAHAN MATI,12.09.10.2001,ASAHAN MATI,desa
1208050006,BAGAN ASAHAN BARU,12.09.10.2003,BAGAN ASAHAN BARU,desa
1208050007,BAGAN ASAHAN PEKAN,12.09.10.2004,BAGAN ASAHAN PEKAN,desa
1208050008,BAGAN ASAHAN,12.09.10.2002,BAGAN ASAHAN,desa
1208060006,SILOMLOM,12.09.12.2008,SILOMLOM,desa
1208060007,PERKEBUNAN SUKARAJA,12.09.12.2002,PERKEBUNAN SUKA RAJA,desa
1208060008,SIMPANG EMPAT,12.09.12.2009,SIMPANG EMPAT,desa
1208060009,SEI DUA HULU,12.09.12.2006,SEI DUA HULU,desa
1208060010,PERKEBUNAN HESSA,12.09.12.2004,PERKEBUNAN HESSA,desa
1208060011,SUNGAI LAMA,12.09.12.2007,SEI LAMA,desa
1208060012,SIPAKU AREA,12.09.12.2012,SIPAKU AREA,desa
1208060013,ANJUNG GANJANG,12.09.12.2013,ANJUNG GANJANG,desa
1208061001,PULAU MARIA,12.09.31.2004,PULAU MARIA,desa
1208061002,PULAU TANJUNG,12.09.31.2005,PULAU TANJUNG,desa
1208061003,TELUK DALAM,12.09.31.2002,TELUK DALAM,desa
1208061004,PERKEBUNAN TELUK DALAM,12.09.31.2003,PERKEBUNAN TELUK DALAM,desa
1208061005,AEK TELUK KIRI,12.09.31.2001,AIR TELUK KIRI,desa
1208061006,MEKAR TANJUNG,12.09.31.2006,MEKAR TANJUNG,desa
1208070001,PERKEBUNAN PULAHAN,12.09.13.2006,PERKEBUNAN PULAHAN,desa
1208070002,PERKEBUNAN AIR BATU III/IX,12.09.13.2009,PERKEBUNAN AIR BATU III/IV,desa
1208070003,SUNGAI ALIM ULU,12.09.13.2001,SEI ALIM ULU,desa
1208070004,AIR TELUK HESSA,12.09.13.2012,AIR TELUK HESSA,desa
1208070005,PERKEBUNAN AIR BATU I/II,12.09.13.2008,PERKEBUNAN AIR BATU I/II,desa
1208070006,PINANGGIRIPAN,12.09.13.2003,PINANGGIRIPAN,desa
1208070007,DANAU SIJABUT,12.09.13.2010,DANAU SIJABUT,desa
1208070008,HESSA PERLOMPONGAN,12.09.13.2007,HESSA PERLOMPONGAN,desa
1208070009,AIR GENTING,12.09.13.2013,AIR GENTING,desa
1208070010,HESSA AIR GENTING,12.09.13.2014,HESSA AIR GENTING,desa
1208070011,SIJABUT TERATAI,12.09.13.2018,SIJABUT TERATAI,desa
1208070012,PULAU PALE,12.09.13.2019,PULAU PULE,desa
1208071001,TANJUNG ALAM,12.09.23.2001,TANJUNG ALAM,desa
1208071002,PERKEBUNAN SEI DADAP III/IV,12.09.23.2003,PERKEBUNAN SEI DADAP III/IV,desa
1208071003,BAHUNG SIBATU-BATU,12.09.23.2006,BAHUNG SIBATU-BATU,desa
1208071004,SEI ALIM HASAK,12.09.23.2007,SEI ALIM HASAK,desa
1208071005,PERKEBUNAN SEI DADAP I/II,12.09.23.2002,PERKEBUNAN SEI DADAP I/II,desa
1208071006,SEI KAMAH II,12.09.23.2005,SEI KAMAH II,desa
1208071007,SEI KAMAH I,12.09.23.2004,SEI KAMAH I,desa
1208071008,TANJUNG ASRI,12.09.23.2008,TANJUNG ASRI,desa
1208071009,SEI KAMAH BARU,12.09.23.2009,SEI KAMAH BARU,desa
1208071010,PASIRAN,12.09.23.2010,PASIRAN,desa
1208080001,LESTARI,12.09.16.2003,LESTARI,desa
1208080005,BUNTU PANE,12.09.16.2002,BUNTU PANE,desa
1208080006,AMBALUTU,12.09.16.2001,AMBALUTU,desa
1208080008,PRAPAT JANJI,12.09.16.2005,PRAPAT JANJI,desa
1208080012,SEI SILAU TIMUR,12.09.16.2007,SEI SILAU TIMUR,desa
1208080013,SIONGGANG,12.09.16.2016,SIONGGANG,desa
1208080014,MEKAR SARI,12.09.16.2017,MEKAR SARI,desa
1208080015,PERKEBUNAN SEI SILAU,12.09.16.2018,PERKEBUNAN SEI SILAU,desa
1208080016,KARYA AMBALUTU,12.09.16.2019,KARYA AMBALUTU,desa
1208081001,TELADAN,12.09.26.2006,TELADAN,desa
1208081002,SIDOMULYO,12.09.26.2005,SIDOMULYO,desa
1208081003,BUTREA/PIASA ULU,12.09.26.2004,PIASA ULU,desa
1208081004,TERUSAN TENGAH,12.09.26.2003,TERUSAN TENGAH,desa
1208081005,SUMBER HARAPAN,12.09.26.2002,SUMBER HARAPAN,desa
1208081006,TINGGI RAJA,12.09.26.2001,TINGGI RAJA,desa
1208081007,PADANG SARI,12.09.26.2007,PADANG SARI,desa
