kode_bps,nama_bps,kode_dagri,nama_dagri,level
5208010001,MALAKA,52.08.05.2004,MALAKA,desa
5208010002,PEMENANG BARAT,52.08.05.2002,PEMENANG BARAT,desa
5208010003,PEMENANG TIMUR,52.08.05.2001,PEMENANG TIMUR,desa
5208010004,GILI INDAH,52.08.05.2003,GILI INDAH,desa
5208020001,SIGAR PENJALIN,52.08.01.2005,SIGAR PENJALIN,desa
5208020002,TENIGA,52.08.01.2007,TENIGA,desa
5208020003,TEGAL MAJA,52.08.01.2004,TEGAL MAJA,desa
5208020004,JENGGALA,52.08.01.2003,JENGGALA,desa
5208020005,TANJUNG,52.08.01.2001,TANJUNG,desa
5208020006,SOKONG,52.08.01.2002,SOKONG,desa
5208020007,MEDANA,52.08.01.2006,MEDANA,desa
5208030001,BENTEK,52.08.02.2002,BENTEK,desa
5208030002,GONDANG,52.08.02.2001,GONDANG,desa
5208030003,GENGGELANG,52.08.02.2003,GENGGELANG,desa
5208030004,REMPEK,52.08.02.2004,REMPEK,desa
5208030005,SAMBIK BANGKOL,52.08.02.2005,SAMBIK BANGKOL,desa
5208040001,SANTONG,52.08.03.2002,SANTONG,desa
5208040002,PENDUA,52.08.03.2008,PENDUA,desa
5208040003,KAYANGAN,52.08.03.2001,KAYANGAN,desa
5208040004,DANGIANG,52.08.03.2007,DANGIANG,desa
5208040005,SESAIT,52.08.03.2004,SESAIT,desa
5208040006,GUMANTAR,52.08.03.2005,GUMANTAR,desa
5208040007,SELENGEN,52.08.03.2003,SELENGEN,desa
5208040008,SALUT,52.08.03.2006,SALUT,desa
5208050001,MUMBUL SARI,52.08.04.2007,MUMBUL SARI,desa
5208050002,AKAR AKAR,52.08.04.2005,AKAT AKAR,desa
5208050003,SUKADANA,52.08.04.2004,SUKADANA,desa
5208050004,ANYAR,52.08.04.2003,ANYAR,desa
5208050005,SENARU,52.08.04.2006,SENARU,desa
5208050006,BAYAN,52.08.04.2001,BAYAN,desa
5208050007,KARANG BAJO,52.08.04.2009,KARANG BAJO,desa
5208050008,LOLOAN,52.08.04.2002,LOLOAN,desa
5208050009,SAMBIK ELEN,52.08.04.2008,SAMBIK ELEN,desa
5271010004,AMPENAN SELATAN,52.71.01.1004,AMPENAN SELATAN,desa
5271010005,AMPENAN TENGAH,52.71.01.1005,AMPENAN TENGAH,desa
5271010006,PEJERUK,52.71.01.1006,PEJERUK,desa
