kode_bps,nama_bps,kode_dagri,nama_dagri,level
1801051001,TIGA JAYA,18.04.08.2007,TIGA JAYA,desa
1801051002,WASPADA,18.04.08.2006,WASPADA,desa
1801051003,GIHAM SUKAMAJU,18.04.08.2008,GIHAM SUKAMAJU,desa
1801051004,SEKINCAU,18.04.08.1005,SEKINCAU,desa
1801051005,PAMPANGAN,18.04.08.2001,PAMPANGAN,desa
1801052001,TUGU RATU,18.04.09.2005,TUGURATU,desa
1801052002,BANDING AGUNG,18.04.09.2006,BANDING AGUNG,desa
1801052003,ROWOREJO,18.04.09.2010,ROWOREJO,desa
1801052006,SUMBER AGUNG,18.04.09.2004,SUMBER AGUNG,desa
1801052007,SUKA MARGA,18.04.09.2003,SUKA MARGA,desa
1801052013,SIDO REJO,18.04.09.2017,SIDOREJO,desa
1801052017,RINGIN SARI,18.04.09.2018,RINGIN SARI,desa
1801053001,KOTA BESI,18.04.10.2008,KOTA BESI,desa
1801053002,CANGGU,18.04.10.2007,CANGGU,desa
1801053003,GUNUNG SUGIH,18.04.10.2004,GUNUNG SUGIH,desa
1801053004,PEKON BALAK,18.04.10.2005,PEKON BALAK,desa
1801053005,SUKABUMI,18.04.10.2006,SUKABUMI,desa
1801053006,KEGERINGAN,18.04.10.2003,KEGERINGAN,desa
1801053007,NEGERI RATU,18.04.10.2002,NEGERI RATU,desa
1801053008,KEMBAHANG,18.04.10.2001,KEMBAHANG,desa
1801053009,SUKARAJA,18.04.10.2009,SUKARAJA,desa
1801053010,KERANG,18.04.10.2010,KERANG,desa
1801053011,TEBA LIYOKH,18.04.10.2011,TEBA LIYOKH,desa
1801054001,PAHAYU JAYA,18.04.20.2001,PAHAYU JAYA,desa
1801054002,BASUNGAN,18.04.20.2002,BASUNGAN,desa
1801054003,MEKAR SARI,18.04.20.2003,MEKAR SARI,desa
1801054004,SIDOMULYO,18.04.20.2004,SIDOMULYO,desa
1801054005,SIDODADI,18.04.20.2005,SIDODADI,desa
1801054006,MARGA JAYA,18.04.20.2006,MARGA JAYA,desa
1801054007,SUKA JAYA,18.04.20.2007,SUKA JAYA,desa
1801054008,BATU API,18.04.20.2008,BATU API,desa
1801054009,PAGAR DEWA,18.04.20.2009,PAGAR DEWA,desa
1801054010,SUKA MULYA,18.04.20.2010,SUKA MULYA,desa
1801055001,ARGOMULYO,18.04.21.2001,ARGOMULYO,desa
1801055002,BATU KEBAYAN,18.04.21.2002,BATU KEBAYAN,desa
1801055003,ATAR BAWANG,18.04.21.2003,ATAR BAWANG,desa
1801055004,CAMPANG TIGA,18.04.21.2004,CAMPANG TIGA,desa
1801055005,LUAS,18.04.21.2005,LUAS,desa
