kode_bps,nama_bps,kode_dagri,nama_dagri,level
7101060001,MOPUSI,71.01.14.2004,MOPUSI,desa
7101060002,MATALI BARU,71.01.14.2005,MATALI BARU,desa
7101060003,BAKAN,71.01.14.2006,BAKAN,desa
7101060004,TANOYAN SELATAN,71.01.14.2007,SANOYAN SELATAN,desa
7101060005,TANOYAN UTARA,71.01.14.2019,TANOYAN UTARA,desa
7101060006,LOLAYAN,71.01.14.2009,LOLAYAN,desa
7101060007,TUNGOI II,71.01.14.2020,TUNGOI II,desa
7101060008,TUNGOI I,71.01.14.2008,TUNGOI I,desa
7101060009,TAPA AOG,71.01.14.2003,TAPA AOG,desa
7101060010,ABAK,71.01.14.2002,ABAK,desa
7101060011,BOMBANON,71.01.14.2001,BOMBANON,desa
7101060012,MOPAIT,71.01.14.2010,MOPAIT,desa
7101060013,KOPANDAKAN II,71.01.14.2017,KOPANDAKAN II,desa
7101060014,MENGKANG,71.01.14.2021,MENGKANG,desa
7101081001,MUNTOI,71.01.19.2001,MUNTOI,desa
7101081002,INUAI,71.01.19.2022,INUAI,desa
7101081003,POYUYANAN,71.01.19.2002,POYUYANAN,desa
7101081004,LOBONG,71.01.19.2003,LOBONG,desa
7101081005,PASSI,71.01.19.2004,PASSI,desa
7101081006,WANGGA,71.01.19.2020,WANGGA,desa
7101081007,OTAM,71.01.19.2019,OTAM,desa
7101081008,BULUD,71.01.19.2018,BULUD,desa
7101081009,BINTAU,71.01.19.2017,BINTAU,desa
7101081010,PASSI II,71.01.19.2023,PASSI II,desa
7101081011,MUNTOI TIMUR,71.01.19.2024,MUNTOI TIMUR,desa
7101081012,WANGGA I,71.01.19.2026,WANGGA SATU,desa
7101081013,OTAM BARAT,71.01.19.2025,OTAM BARAT,desa
7101082003,PANGIAN,71.01.22.2003,PANGIAN,desa
7101082004,POOPO,71.01.22.2004,POOPO,desa
7101082006,MANEMBO,71.01.22.2005,MANEMBO,desa
7101082007,SINSINGON,71.01.22.2006,SINSINGON,desa
7101082008,MOBUYA,71.01.22.2009,MOBUYA,desa
7101082009,INSIL,71.01.22.2007,INSIL,desa
7101082010,INSIL BARU,71.01.22.2012,INSIL BARU,desa
7101082011,PANGIAN TENGAH,71.01.22.2013,PANGIAN TENGAH,desa
7101082012,PANGIAN BARAT,71.01.22.2014,PANGIAN BARAT,desa
7101082013,POOPO BARAT,71.01.22.2015,POOPO BARAT,desa
7101082014,POOPO SELATAN,71.01.22.2016,POOPO SELATAN,desa
7101082015,SINSINGON BARAT,71.01.22.2017,SINSINGON BARAT,desa
7101082016,SINSINGON TIMUR,71.01.22.2018,SINSINGON TIMUR,desa
7101083001,BILALANG III,71.01.32.2001,BILALANG III,desa
7101083002,BILALANG IV,71.01.32.2002,BILALANG IV,desa
7101083003,TUDUAOG BARU,71.01.32.2004,TUDU AOG BARU,desa
7101083004,TUDUAOG,71.01.32.2003,TUDU AOG,desa
7101083005,KOLINGANGAAN,71.01.32.2005,KOLINGANGA'AN,desa
7101083006,BILALANG III UTARA,71.01.32.2006,BILALANG III UTARA,desa
7101083007,BILALANG BARU,71.01.32.2007,BILALANG BARU,desa
7101083008,APADO,71.01.32.2008,APADO,desa
7101090001,MARIRI DUA,71.01.20.2014,MARIRI II,desa
7101090002,MARIRI LAMA,71.01.20.2001,MARIRI LAMA,desa
7101090003,MARIRI BARU,71.01.20.2002,MARIRI BARU,desa
7101090004,NONAPAN DUA,71.01.20.2003,NONAPAN II,desa
