kode_bps,nama_bps,kode_dagri,nama_dagri,level
5204070001,BATUROTOK,52.04.07.2001,BATU ROTOK,desa
5204070002,TANKAM PULIT,52.04.07.2002,TANGKAM PULIT,desa
5204070003,BAO DESA,52.04.07.2003,BAO DESA,desa
5204070004,TEPAL,52.04.07.2004,TEPAL,desa
5204070005,BATU DULANG,52.04.07.2005,BATU DULANG,desa
5204070006,KELUNGKUNG,52.04.07.2006,KELUNGKUNG,desa
5204080004,LEMPEH,52.04.08.1006,LEMPEH,desa
5204080010,SAMAPUIN,52.04.08.1001,SAMAPUIN,desa
5204080011,BRANG BARA,52.04.08.1002,BRANG BARA,desa
5204080012,PEKAT,52.04.08.1003,PEKAT,desa
5204080013,SEKETENG,52.04.08.1004,SEKETENG,desa
5204080014,BUGIS,52.04.08.1005,BUGIS,desa
5204080015,UMA SIMA,52.04.08.1008,UMA SIMA,desa
5204080016,BRANG BIJI,52.04.08.1007,BRANG BIJI,desa
5204081001,LABUHAN BADAS,52.04.18.2001,LABUHAN BADAS,desa
5204081002,KARANG DIMA,52.04.18.2002,KARANG DIMA,desa
5204081003,LABUHAN SUMBAWA,52.04.18.2003,LABUHAN SUMBAWA,desa
5204081004,LABUHAN AJI,52.04.18.2004,LABUHAN AJI,desa
5204081005,SEBOTOK,52.04.18.2005,SEBOTOK,desa
5204081006,BAJO MEDANG,52.04.18.2006,BAJO MEDANG,desa
5204081007,BUGIS MEDANG,52.04.18.2007,BUGIS MEDANG,desa
5204082001,PELAT,52.04.22.2001,PELAT,desa
5204082002,KEREKEH,52.04.22.2002,KEREKEH,desa
5204082003,BOAK,52.04.22.2003,BOAK,desa
5204082004,PUNGKA,52.04.22.2006,PUNGKA,desa
5204082005,JOROK,52.04.22.2004,JOROK,desa
5204082006,KERATO,52.04.22.2005,KERATO,desa
5204082007,UMA BERINGIN,52.04.22.2007,UMA BERINGIN,desa
5204082008,NIJANG,52.04.22.2008,NIJANG,desa
5204090001,SERADING,52.04.09.2009,SERADING,desa
5204090002,KAKIANG,52.04.09.2002,KAKIANG,desa
5204090003,MOYO,52.04.09.2001,MOYO,desa
5204090004,POTO,52.04.09.2005,POTO,desa
5204090005,BERARE,52.04.09.2004,BERARE,desa
5204090006,NGERU,52.04.09.2003,NGERU,desa
5204090010,OLAT RAWA,52.04.09.2010,OLAT RAWA,desa
5204090011,BATU BANGKA,52.04.09.2011,BATU BANGKA,desa
5204090013,MOYO MEKAR,52.04.09.2013,MOYO MEKAR,desa
5204090014,LABUHAN IJUK,52.04.09.2014,LABUHAN IJUK,desa
5204091001,SEBEWE,52.04.23.2002,SEBEWE,desa
5204091002,PUNGKIT,52.04.23.2001,PUNGKIT,desa
5204091003,KUKIN,52.04.23.2004,KUKIN,desa
5204091004,BARU TAHAN,52.04.23.2005,BARU TAHAN,desa
5204091005,PENYARING,52.04.23.2003,PENYARING,desa
5204091006,SONGKAR,52.04.23.2006,SONGKAR,desa
