kode_bps,nama_bps,kode_dagri,nama_dagri,level
3577010001,NAMBANGAN KIDUL,35.77.02.1009,NAMBANGAN KIDUL,desa
3577010002,NAMBANGAN LOR,35.77.02.1008,NAMBANGAN LOR,desa
3577010003,MANGUHARJO,35.77.02.1001,MANGUHARJO,desa
3577010004,PANGONGANGAN,35.77.02.1007,PANGONGANGAN,desa
3577010005,WINONGO,35.77.02.1005,WINONGO,desa
3577010006,MADIUN LOR,35.77.02.1006,MADIUN LOR,desa
3577010007,PATIHAN,35.77.02.1003,PATIHAN,desa
3577010008,NGEGONG,35.77.02.1004,NGEGONG,desa
3577010009,SOGATEN,35.77.02.1002,SOGATEN,desa
3577020001,JOSENAN,35.77.03.1007,JOSENAN,desa
3577020002,KUNCEN,35.77.03.1004,KUNCEN,desa
3577020003,DEMANGAN,35.77.03.1008,DEMANGAN,desa
3577020004,BANJAREJO,35.77.03.1003,BANJAREJO,desa
3577020005,PANDEAN,35.77.03.1002,PANDEAN,desa
3577020006,KEJURON,35.77.03.1006,KEJURON,desa
3577020007,TAMAN,35.77.03.1009,TAMAN,desa
3577020008,MOJOREJO,35.77.03.1001,MOJOREJO,desa
3577020009,MANISREJO,35.77.03.1005,MANISREJO,desa
3577030001,KARTOHARJO,35.77.01.1008,KARTOHARJO,desa
3577030002,ORO ORO OMBO,35.77.01.1001,ORO-ORO OMBO,desa
3577030003,KLEGEN,35.77.01.1003,KLEGEN,desa
3577030004,KANIGORO,35.77.01.1007,KANIGORO,desa
3577030005,PILANGBANGO,35.77.01.1005,PILANGBANGO,desa
3577030006,REJOMULYO,35.77.01.1004,REJOMULYO,desa
3577030007,SUKOSARI,35.77.01.1002,SUKOSARI,desa
3577030008,TAWANGREJO,35.77.01.1006,TAWANGREJO,desa
3577030009,KELUN,35.77.01.1009,KELUN,desa
3578010001,WARUGUNUNG,35.78.01.1004,WARU GUNUNG,desa
3578010002,KARANG PILANG,35.78.01.1001,KARANG PILANG,desa
3578010003,KEBRAON,35.78.01.1002,KEBRAON,desa
3578010004,KEDURUS,35.78.01.1003,KEDURUS,desa
3578020001,PAGESANGAN,35.78.23.1004,PAGESANGAN,desa
3578020002,KEBONSARI,35.78.23.1003,KEBONSARI,desa
3578020003,JAMBANGAN,35.78.23.1001,JAMBANGAN,desa
3578020004,KARAH,35.78.23.1002,KARAH,desa
