kode_bps,nama_bps,kode_dagri,nama_dagri,level
7503021001,WONGGARASI TIMUR,75.04.11.2001,WANGGARASI TIMUR,desa
7503021002,BUKIT HARAPAN,75.04.11.2002,BUKIT HARAPAN,desa
7503021003,BOHUSAMI,75.04.11.2003,BOHUSAMI,desa
7503021004,LEMBAH PERMAI,75.04.11.2004,LEMBAH PERMAI,desa
7503021005,LIMBULA,75.04.11.2005,LIMBULA,desa
7503021006,TUWEYA,75.04.11.2007,TUWEYA,desa
7503021007,YIPILO,75.04.11.2006,YIPILO,desa
7503030005,MARISA SELATAN,75.04.04.2003,MARISA SELATAN,desa
7503030006,POHUWATO,75.04.04.2008,POHUWATO,desa
7503030007,MARISA UTARA,75.04.04.2004,MARISA UTARA,desa
7503030008,TERATAI,75.04.04.2007,TERATAI,desa
7503030019,BOTUBILOTAHU INDAH,75.04.04.2015,BATUBILOTAHU,desa
7503030020,PALOPO,75.04.04.2016,PALOPO,desa
7503030021,POHUWATO TIMUR,75.04.04.2017,POHUWATO TIMUR,desa
7503030022,BULANGITA,75.04.04.2018,BULANGITA,desa
7503031001,ILO HELUMA,75.04.06.2001,ILOHELUMA,desa
7503031002,BALAYO,75.04.06.2002,BALAYO,desa
7503031003,MANAWA,75.04.06.2004,MANAWA,desa
7503031004,SUKA MAKMUR,75.04.06.2003,SUKA MAKMUR,desa
7503031005,DUDEPO,75.04.06.2006,DUDEPO,desa
7503031006,DULOMO,75.04.06.2005,DULOMO,desa
7503032001,BUNTULIA UTARA,75.04.09.2004,BUNTULIA UTARA,desa
7503032002,TALUDUYUNU,75.04.09.2003,TALUDUYUNU,desa
7503032003,HULAWA,75.04.09.2001,HULAWA,desa
7503032004,BUNTULIA TENGAH,75.04.09.2005,BUNTULIA TENGAH,desa
7503032005,KARYA INDAH,75.04.09.2002,KARYA INDAH,desa
7503032006,SIPATANA,75.04.09.2007,SIPATANA,desa
7503032007,TALUDUYUNU UTARA,75.04.09.2006,TALUDUYUNU UTARA,desa
7503033001,DUHIADAA,75.04.10.2004,DUHIADAA,desa
7503033002,BULILI,75.04.10.2001,BULILI,desa
7503033003,BUNTULIA SELATAN,75.04.10.2003,BUNTULIA SELATAN,desa
7503033005,MEKAR JAYA,75.04.10.2005,MEKAR JAYA,desa
7503033006,BUNTULIA BARAT,75.04.10.2002,BUNTULIA BARAT,desa
7503033007,PADENGO,75.04.10.2007,PADENGO,desa
7503033008,BUNTULIA JAYA,75.04.10.2006,BUNTULIA JAYA,desa
7503033009,MOOTILANGO,75.04.10.2008,MOOTILANGO,desa
7503040001,SIDORUKUN,75.04.03.2004,SIDORUKUN,desa
7503040002,MOTOLOHU,75.04.03.2001,MOTOLOHU,desa
7503040003,HUYULA,75.04.03.2009,HUYULA,desa
7503040004,IMBODU,75.04.03.2002,IMBODU,desa
7503040005,MANUNGGAL KARYA,75.04.03.2003,MANUNGGAL KARYA,desa
7503040006,SARI MURNI,75.04.03.2008,SARIMURNI,desa
7503040013,PATUHU,75.04.03.2014,PATUHU,desa
7503040014,AYULA,75.04.03.2013,AYULA,desa
7503040015,OMAYUWA,75.04.03.2012,OMAYUWA,desa
7503040016,BANUROJA,75.04.03.2015,BANUROJA,desa
7503040017,PELAMBANE,75.04.03.2016,PELAMBANE,desa
7503040018,MOTOLOHU SELATAN,75.04.03.2017,MOTOLOHU SELATAN,desa
7503040019,SIDUWONGE,75.04.03.2018,SIDOWONGE,desa
7503041001,MALANGO,75.04.07.2005,MALANGO,desa
7503041002,PANCA KARSA I,75.04.07.2001,PANCAKARSA I,desa
7503041003,PANCA KARSA II,75.04.07.2002,PANCAKARSA II,desa
7503041004,KALIMAS,75.04.07.2004,KALIMAS,desa
7503041005,MEKARTI JAYA,75.04.07.2003,MAKARTI JAYA,desa
7503041006,PUNCAK JAYA,75.04.07.2006,PUNCAK JAYA,desa
7503041007,TIRTO ASRI,75.04.07.2007,TIRTO ASRI,desa
7503050001,LIBUO,75.04.05.1001,LIBUO,desa
7503050002,PENTADU,75.04.05.1002,PENTADU,desa
7503050003,SIDUAN,75.04.05.1003,SIDUAN,desa
7503050004,BUNUYO,75.04.05.2004,BUNUYO,desa
7503050005,SIPAYO,75.04.05.2005,SIPAYO,desa
7503050006,SOGINTI,75.04.05.2006,SOGINTI,desa
7503050010,MALEO,75.04.05.2012,MALEO,desa
7503050011,BUMBULAN,75.04.05.2010,BUMBULAN,desa
7503050012,BUHU JAYA,75.04.05.2014,BUHU JAYA,desa
7503050013,MOLAMAHU,75.04.05.2013,MOLAMAHU,desa
7503050014,KEMIRI,75.04.05.2015,KEMIRI,desa
7503051001,POPAYA,75.04.08.2001,POPAYA,desa
7503051002,PADENGO,75.04.08.2004,PADENGO,desa
7503051003,KARANGETANG,75.04.08.2003,KARANGETAN,desa
7503051004,KARYA BARU,75.04.08.2002,KARYA BARU,desa
7503051005,HUTA MOPUTI,75.04.08.2005,HUTAMOPUTI,desa
7504010006,TALULOBUTU,75.03.01.2005,TALULOBUTU,desa
7504010007,TALUMOPATU,75.03.01.2004,TALUMOPATU,desa
7504010008,DUNGGALA,75.03.01.2006,DUNGGALA,desa
7504010010,LANGGE,75.03.01.2007,LANGGE,desa
7504010011,TALULOBUTU SELATAN,75.03.01.2027,TALULOBUTU SELATAN,desa
7504010012,KRAMAT,75.03.01.2028,KERAMAT,desa
7504010013,MERANTI,75.03.01.2029,MERANTI,desa
7504011005,BANDUNGAN,75.03.05.2002,BANDUNGAN,desa
7504011011,BOIDU,75.03.05.2001,BOIDU,desa
7504011012,TUPA,75.03.05.2003,TUPA,desa
7504011013,LONGALO,75.03.05.2004,LONGALO,desa
7504011016,TULOA,75.03.05.2009,TULOA,desa
7504011019,LOMAYA,75.03.05.2011,LOMAYA,desa
7504011020,KOPI,75.03.05.2010,KOPI,desa
7504011021,BUNUO,75.03.05.2015,BUNUO,desa
7504011022,SUKA DAMAI,75.03.05.2012,SUKA DAMAI,desa
7504012001,AYULA SELATAN,75.03.15.2001,AYULA SELATAN,desa
7504012002,HUNTU SELATAN,75.03.15.2004,HUNTU SELATAN,desa
7504012003,HUNTU UTARA,75.03.15.2002,HUNTU UTARA,desa
7504012004,AYULA UTARA,75.03.15.2003,AYULA UTARA,desa
7504012005,AYULA TILANGO,75.03.15.2006,AYULA TILANGO,desa
7504012006,LAMAHU,75.03.15.2008,LAMAHU,desa
7504012007,HUNTU BARAT,75.03.15.2011,HUNTU BARAT,desa
7504012008,AYULA TIMUR,75.03.15.2007,AYULA TIMUR,desa
7504012009,SEJAHTERA,75.03.15.2010,SEJAHTERA,desa
7504012010,TINELO AYULA,75.03.15.2009,TINELO AYULA,desa
7504013001,BULOTALANGI,75.03.16.2001,BULOTALANGI,desa
7504013002,BULOTALANGI BARAT,75.03.16.2005,BULOTALANGI BARAT,desa
7504013003,BULOTALANGI TIMUR,75.03.16.2004,BULOTALANGI TIMUR,desa
7504013004,TOLUWAYA,75.03.16.2002,TOLUWAYA,desa
7504013005,POPODU,75.03.16.2003,POPODU,desa
