kode_bps,nama_bps,kode_dagri,nama_dagri,level
5102020001,TIBUBIYU,51.02.04.2001,TIBUBIU,desa
5102020002,KELATING,51.02.04.2002,KELATING,desa
5102020003,PENARUKAN,51.02.04.2003,PENARUKAN,desa
5102020004,BELUMBANG,51.02.04.2004,BELUMBANG,desa
5102020005,TISTA,51.02.04.2005,TISTA,desa
5102020006,KERAMBITAN,51.02.04.2006,KERAMBITAN,desa
5102020007,PANGKUNG KARUNG,51.02.04.2007,PANGKUNG KARUNG,desa
5102020008,KUKUH,51.02.04.2009,KUKUH,desa
5102020009,BATURITI,51.02.04.2010,BATURITI,desa
5102020010,MELILING,51.02.04.2011,MELILING,desa
5102020011,SEMBUNG GEDE,51.02.04.2012,SEMBUNG GEDE,desa
5102020012,SAMSAM,51.02.04.2008,SAMSAM,desa
5102020013,BATUAJI,51.02.04.2013,BATUAJI,desa
5102020014,KESIUT,51.02.04.2014,KESIUT,desa
5102020015,TIMPAG,51.02.04.2015,TIMPAG,desa
5102030001,SUDIMARA,51.02.05.2001,SUDIMARA,desa
5102030002,BONGAN,51.02.05.2003,BONGAN,desa
5102030003,GUBUG,51.02.05.2002,GUBUG,desa
5102030004,DAUH PEKEN,51.02.05.2005,DAUH PEKEN,desa
5102030005,DELOD PEKEN,51.02.05.2004,DELOD PEKEN,desa
5102030006,DAJAN PEKEN,51.02.05.2006,DAJAN PEKEN,desa
5102030007,SUBAMIA,51.02.05.2008,SUBAMIA,desa
5102030008,DENBANTAS,51.02.05.2007,DENBANTAS,desa
5102030009,BUAHAN,51.02.05.2011,BUAHAN,desa
5102030010,TUNJUK,51.02.05.2010,TUNJUK,desa
5102030011,WANASARI,51.02.05.2009,WANASARI,desa
5102030012,SESANDAN,51.02.05.2012,SEDANDAN,desa
5102040001,PANGKUNG TIBAH,51.02.06.2002,PANGKUNG TIBAH,desa
5102040002,BELALANG,51.02.06.2003,BELALANG,desa
5102040003,BERABAN,51.02.06.2004,BERABAN,desa
5102040004,BUWIT,51.02.06.2005,BUWIT,desa
5102040005,CEPAKA,51.02.06.2006,CEPAKA,desa
5102040006,KABA-KABA,51.02.06.2007,KABA-KABA,desa
5102040007,PANDAK GEDE,51.02.06.2010,PANDAK GEDE,desa
5102040008,BENGKEL,51.02.06.2001,BENGKEL,desa
5102040009,PEJATEN,51.02.06.2012,PEJATEN,desa
5102040010,NYITDAH,51.02.06.2011,NYITDAH,desa
5102040011,PANDAK BANDUNG,51.02.06.2009,PANDAK BANDUNG,desa
5102040012,NYAMBU,51.02.06.2008,NYAMBU,desa
5102040013,KEDIRI,51.02.06.2013,KEDIRI,desa
5102040014,ABIAN TUWUNG,51.02.06.2014,ABIAN TUWUNG,desa
5102040015,BANJAR ANYAR,51.02.06.2015,BANJAR ANYAR,desa
5102050001,TEGALJADI,51.02.07.2005,TEGALJADI,desa
5102050002,KUKUH,51.02.07.2001,KUKUH,desa
5102050003,BERINGKIT BELAYU,51.02.07.2002,BERINGKIT,desa
5102050004,PEKEN BELAYU,51.02.07.2003,PEKEN,desa
5102050005,BATANNYUH,51.02.07.2004,BATANNYUH,desa
5102050006,KUWUM,51.02.07.2006,KUWUM,desa
5102050007,CAUBELAYU,51.02.07.2010,CAU BELAYU,desa
5102050008,SELANBAWAK,51.02.07.2007,SELANBAWAK,desa
5102050009,MARGA,51.02.07.2008,MARGA,desa
5102050010,PETIGA,51.02.07.2009,PETIGA,desa
5102050011,TUA,51.02.07.2011,TUA,desa
5102050012,PAYANGAN,51.02.07.2012,PAYANGAN,desa
5102050013,DAUH PURI,51.02.07.2014,MARGA DAUH PURI,desa
5102050014,DAJAN PURI,51.02.07.2013,MARGA DAJAN PURI,desa
5102050015,GELUNTUNG,51.02.07.2015,GELUNTUNG,desa
5102050016,BARU,51.02.07.2016,BARU,desa
5102060001,PEREAN,51.02.09.2001,PEREAN,desa
5102060002,PEREAN TENGAH,51.02.09.2011,PEREAN TENGAH,desa
5102060003,PEREAN KANGIN,51.02.09.2012,PEREAN KANGIN,desa
5102060004,LUWUS,51.02.09.2002,LUWUS,desa
5102060005,MEKARSARI,51.02.09.2009,MEKARSARI,desa
5102060006,APUAN,51.02.09.2003,APUAN,desa
5102060007,ANGSERI,51.02.09.2004,ANGSERI,desa
5102060008,BANGLI,51.02.09.2005,BANGLI,desa
5102060009,BATURITI,51.02.09.2006,BATURITI,desa
5102060010,BATUNYA,51.02.09.2010,BATUNYA,desa
5102060011,ANTAPAN,51.02.09.2007,ANTAPAN,desa
5102060012,CANDIKUNING,51.02.09.2008,CANDIKUNING,desa
5102070001,REJASA,51.02.08.2001,REJASA,desa
5102070002,JEGU,51.02.08.2002,JEGU,desa
5102070003,RIANG GEDE,51.02.08.2003,RIANG GEDE,desa
5102070004,BURUAN,51.02.08.2004,BURUAN,desa
5102070005,TAJEN,51.02.08.2015,TAJEN,desa
5102070006,PITRA,51.02.08.2006,PITRA,desa
5102070007,PENATAHAN,51.02.08.2007,PENATAHAN,desa
5102070008,TENGKUDAK,51.02.08.2008,TENGKUDAK,desa
5102070009,MENGESTE,51.02.08.2009,MENGESTA,desa
5102070010,PENEBEL,51.02.08.2010,PENEBEL,desa
5102070011,BIAUNG,51.02.08.2005,BIAUNG,desa
5102070012,BABAHAN,51.02.08.2011,BABAKAN,desa
5102070013,SENGANAN,51.02.08.2012,SENGANAN,desa
5102070014,JATILUWIH,51.02.08.2013,JATILUWIH,desa
5102070015,WONGAYA GEDE,51.02.08.2014,WONGAYA GEDE,desa
5102070016,PESAGI,51.02.08.2017,PESAGI,desa
5102070017,TEGALINGGAH,51.02.08.2016,TEGALLINGGAH,desa
5102070018,SANGKETAN,51.02.08.2018,SANGKETAN,desa
5102080001,BELATUNGAN,51.02.10.2011,BELATUNGAN,desa
5102080002,KEBON PADANGAN,51.02.10.2004,KEBON PADANGAN,desa
5102080003,BELIMBING,51.02.10.2001,BELIMBING,desa
5102080004,SANDA,51.02.10.2002,SANDA,desa
5102080005,BATUNGSEL,51.02.10.2003,BATUNGSEL,desa
5102080006,PUJUNGAN,51.02.10.2006,PUJUNGAN,desa
5102080007,PAJAHAN,51.02.10.2012,PAJAHAN,desa
5102080008,MUNDUK TEMU,51.02.10.2005,MUNDUK TEMU,desa
5102080009,PUPUAN,51.02.10.2007,PUPUAN,desa
5102080010,BANTIRAN,51.02.10.2008,BANTIRAN,desa
5102080011,PADANGAN,51.02.10.2009,PADANGAN,desa
5102080012,JELIJIH PUNGGANG,51.02.10.2010,JELIJIH PUNGGUNG,desa
5102080013,KARYA SARI,51.02.10.2013,KARYASARI,desa
5102080014,SAI,51.02.10.2014,SAI,desa
5103010001,PECATU,51.03.05.2001,PECATU,desa
5103010002,UNGASAN,51.03.05.2002,UNGASAN,desa
5103010003,KUTUH,51.03.05.2003,KUTUH,desa
5103010004,BENOA,51.03.05.1004,BENOA,desa
5103010005,TANJUNG BENOA,51.03.05.1005,TANJUNG BENOA,desa
5103010006,JIMBARAN,51.03.05.1006,JIMBARAN,desa
5103020001,KEDONGANAN,51.03.01.1003,KEDONGANAN,desa
5103020002,TUBAN,51.03.01.1001,TUBAN,desa
5103020003,KUTA,51.03.01.1002,KUTA,desa
5103020004,LEGIAN,51.03.01.1004,LEGIAN,desa
5103020005,SEMINYAK,51.03.01.1005,SEMINYAK,desa
5103030001,KEROBOKAN KELOD,51.03.06.1001,KEROBOKAN KELOD,desa
5103030002,KEROBOKAN,51.03.06.1002,KEROBOKAN,desa
5103030003,KEROBOKAN KAJA,51.03.06.1003,KEROBOKAN KAJA,desa
5103030004,TIBUBENENG,51.03.06.2004,TIBUBENENG,desa
5103030005,CANGGU,51.03.06.2005,CANGGU,desa
5103030006,DALUNG,51.03.06.2006,DALUNG,desa
5103040001,CEMAGI,51.03.02.2017,CEMAGI,desa
5103040002,MUNGGU,51.03.02.2001,MUNGGU,desa
5103040003,PERERENAN,51.03.02.2018,PERERENAN,desa
5103040004,TUMBAK BAYUH,51.03.02.2019,TUMBAKBAYUH,desa
5103040005,BUDUK,51.03.02.2002,BUDUK,desa
5103040006,ABIANBASE,51.03.02.1014,ABIANBASE,desa
5103040007,SEMPIDI,51.03.02.1005,SEMPIDI,desa
5103040008,SADING,51.03.02.1015,SADING,desa
5103040009,LUKLUK,51.03.02.1016,LUKLUK,desa
5103040010,KAPAL,51.03.02.1004,KAPAL,desa
5103040011,KEKERAN,51.03.02.2010,KEKERAN,desa
5103040012,MENGWITANI,51.03.02.2003,MENGWITANI,desa
5103040013,MENGWI,51.03.02.2009,MENGWI,desa
5103040014,GULINGAN,51.03.02.2012,GULINGAN,desa
5103040015,PENARUNGAN,51.03.02.2006,PENARUNGAN,desa
5103040016,BAHA,51.03.02.2008,BAHA,desa
5103040017,WERDI BHUWANA,51.03.02.2013,WERDI BHUWANA,desa
5103040018,SOBANGAN,51.03.02.2011,SOBANGAN,desa
5103040019,SEMBUNG,51.03.02.2007,SEMBUNG,desa
5103040020,KUWUM,51.03.02.2020,KUWUN,desa
5103050001,DARMASABA,51.03.03.2001,DARMASABA,desa
5103050002,SIBANG GEDE,51.03.03.2003,SIBANGGEDE,desa
5103050003,JAGAPATI,51.03.03.2004,JAGAPATI,desa
5103050004,ANGANTAKA,51.03.03.2005,ANGANTAKA,desa
5103050005,SEDANG,51.03.03.2006,SEDANG,desa
5103050006,SIBANG KAJA,51.03.03.2002,SIBANGKAJA,desa
5103050007,MEKAR BHUANA,51.03.03.2015,MEKAR BHUWANA,desa
5103050008,MAMBAL,51.03.03.2007,MAMBAL,desa
5103050009,ABIANSEMAL,51.03.03.2008,ABIANSEMAL,desa
5103050010,DAUH YEH CANI,51.03.03.2016,ABIANSEMAL DAUH YEH CANI,desa
5103050011,AYUNAN,51.03.03.2012,AYUNAN,desa
5103050012,BLAHKIUH,51.03.03.2011,BLAHKIUH,desa
5103050013,PUNGGUL,51.03.03.2014,PUNGGUL,desa
5103050014,BONGKASA,51.03.03.2009,BONGKASA,desa
5103050015,TAMAN,51.03.03.2010,TAMAN,desa
5103050016,SELAT,51.03.03.2017,SELAT,desa
5103050017,SANGEH,51.03.03.2013,SANGEH,desa
5103050018,BONGKASA PERTIWI,51.03.03.2018,BONGKASA PERTIWI,desa
5103060001,CARANGSARI,51.03.04.2001,CARANGSARI,desa
5103060002,GETASAN,51.03.04.2005,GETASAN,desa
5103060003,PANGSAN,51.03.04.2006,PANGSAN,desa
5103060004,PETANG,51.03.04.2002,PETANG,desa
5103060005,SULANGAI,51.03.04.2007,SULANGAI,desa
5103060006,PELAGA,51.03.04.2004,PELAGA,desa
5103060007,BELOK/SIDAN,51.03.04.2003,BELOK/SIDAN,desa
5104010001,BATUBULAN,51.04.01.2001,BATUBULAN,desa
5104010002,BATUBULAN KANGIN,51.04.01.2009,BATUBULAN KANGIN,desa
5104010003,KETEWEL,51.04.01.2002,KETEWEL,desa
5104010004,GUWANG,51.04.01.2003,GUWANG,desa
5104010005,SUKAWATI,51.04.01.2004,SUKAWATI,desa
5104010006,CELUK,51.04.01.2005,CELUK,desa
5104010007,SINGAPADU,51.04.01.2006,SINGAPADU,desa
5104010008,SINGAPADU TENGAH,51.04.01.2010,SINGAPADU TENGAH,desa
5104010009,SINGAPADU KALER,51.04.01.2011,SINGAPADU KALER,desa
5104010010,BATUAN,51.04.01.2007,BATUAN,desa
5104010011,BATUAN KALER,51.04.01.2012,BATUAN KALER,desa
5104010012,KEMENUH,51.04.01.2008,KEMENUH,desa
5104020001,SABA,51.04.02.2001,SABA,desa
5104020002,PERING,51.04.02.2002,PERING,desa
5104020003,KERAMAS,51.04.02.2003,KERAMAS,desa
5104020004,MEDAHAN,51.04.02.2008,MEDAHAN,desa
5104020005,BONA,51.04.02.2009,BONA,desa
5104020006,BELEGA,51.04.02.2004,BELEGA,desa
5104020007,BLAHBATUH,51.04.02.2005,BLAHBATUH,desa
5104020008,BURUAN,51.04.02.2006,BURUAN,desa
5104020009,BEDULU,51.04.02.2007,BEDULU,desa
5104030001,LEBIH,51.04.03.2004,LEBIH,desa
5104030002,TULIKUP,51.04.03.2001,TULIKUP,desa
5104030003,TEMESI,51.04.03.2015,TEMESI,desa
5104030004,SIDAN,51.04.03.2002,SIDAN,desa
5104030005,SAMPLANGAN,51.04.03.1003,SAMPLANGAN,desa
5104030006,SERONGGA,51.04.03.2013,SERONGGA,desa
5104030007,ABIANBASE,51.04.03.1005,ABIANBASE,desa
5104030008,GIANYAR,51.04.03.1006,GIANYAR,desa
5104030009,BENG,51.04.03.1008,BENG,desa
5104030010,BITERA,51.04.03.1007,BITERA,desa
5104030011,BAKBAKAN,51.04.03.2009,BAKBAKAN,desa
5104030012,SIANGAN,51.04.03.2010,SIANGAN,desa
5104030013,SUWAT,51.04.03.2011,SUWAT,desa
5104030014,PETAK,51.04.03.2012,PETAK,desa
5104030015,PETAK KAJA,51.04.03.2014,PETAK KAJA,desa
5104030016,SUMITA,51.04.03.2016,SUMITA,desa
5104030017,TEGAL TUGU,51.04.03.2017,TEGAL TUGU,desa
5104040001,PEJENG KAWAN,51.04.04.2005,PEJENG KAWAN,desa
5104040002,PEJENG,51.04.04.2001,PEJENG,desa
5104040003,PEJENG KELOD,51.04.04.2008,PEJENG KELOD,desa
5104040004,PEJENG KANGIN,51.04.04.2007,PEJENG KANGIN,desa
5104040005,PEJENG KAJA,51.04.04.2006,PEJENG KAJA,desa
5104040006,SANDING,51.04.04.2002,SANDING,desa
5104040007,TAMPAKSIRING,51.04.04.2003,TAMPAKSIRING,desa
5104040008,MANUKAYA,51.04.04.2004,MANUKAYA,desa
5104050003,MAS,51.04.05.2002,MAS,desa
5104050001,SINGAKERTA,51.04.05.2003,SINGAKERTA,desa
5104050002,LODTUNDUH,51.04.05.2001,LODTUNDUH,desa
5104050004,PELIATAN,51.04.05.2006,PELIATAN,desa
5104050005,PETULU,51.04.05.2007,PETULU,desa
5104050006,UBUD,51.04.05.1005,UBUD,desa
5104050007,SAYAN,51.04.05.2008,SAYAN,desa
5104050008,KEDEWATAN,51.04.05.2004,KEDEWATAN,desa
5104060001,KELIKI,51.04.06.2001,KELIKI,desa
5104060002,TEGALLALANG,51.04.06.2002,TEGALLALANG,desa
5104060003,KENDERAN,51.04.06.2003,KENDERAN,desa
5104060004,KEDISAN,51.04.06.2004,KEDISAN,desa
5104060005,PUPUAN,51.04.06.2005,PUPUAN,desa
5104060006,SEBATU,51.04.06.2006,SEBATU,desa
5104060007,TARO,51.04.06.2007,TARO,desa
5104070001,MELINGGIH KELOD,51.04.07.2007,MELINGGIH KELOD,desa
5104070002,MELINGGIH,51.04.07.2001,MELINGGIH,desa
5104070003,KELUSA,51.04.07.2002,KELUSA,desa
5104070004,BERESELA,51.04.07.2009,BRESELA,desa
5104070005,BUKIAN,51.04.07.2003,BUKIAN,desa
5104070006,PUHU,51.04.07.2004,PUHU,desa
5104070007,BUAHAN,51.04.07.2005,BUAHAN,desa
5104070008,BUAHAN KAJA,51.04.07.2008,BUAHAN KAJA,desa
5104070009,KERTA,51.04.07.2006,KERTA,desa
5105010001,SAKTI,51.05.01.2001,SAKTI,desa
5105010002,BUNGA MEKAR,51.05.01.2016,BUNGA MEKAR,desa
5105010003,BATUMADEG,51.05.01.2002,BATUMADEG,desa
5105010004,KLUMPU,51.05.01.2003,KLUMPU,desa
5105010005,BATUKANDIK,51.05.01.2004,BATUKANDIK,desa
5105010006,SEKARTAJI,51.05.01.2005,SEKARTAJI,desa
5105010007,TANGLAD,51.05.01.2006,TANGLAD,desa
5105010008,PEJUKUTAN,51.05.01.2014,PEJUKUTAN,desa
5105010009,SUANA,51.05.01.2007,SUANA,desa
5105010010,BATUNUNGGUL,51.05.01.2008,BATUNUNGGUL,desa
5105010011,KUTAMPI,51.05.01.2009,KUTAMPI,desa
5105010012,KUTAMPI KALER,51.05.01.2015,KUTAMPI KALER,desa
5105010013,PED,51.05.01.2010,PED,desa
5105010014,KAMPUNG TOYAPAKEH,51.05.01.2011,KAMPUNG TOYAPAKEH,desa
5105010015,LEMBONGAN,51.05.01.2012,LEMBONGAN,desa
5105010016,JUNGUTBATU,51.05.01.2013,JUNGUTBATU,desa
5105020001,NEGARI,51.05.02.2001,NEGARI,desa
