kode_bps,nama_bps,kode_dagri,nama_dagri,level
3511050001,PAKISAN,35.11.03.2007,PAKISAN,desa
3511050002,TLOGOSARI,35.11.03.2006,TLOGOSARI,desa
3511050003,KEMBANG,35.11.03.2001,KEMBANG,desa
3511050004,GUNOSARI,35.11.03.2002,GUNOSARI,desa
3511050005,TROTOSARI,35.11.03.2003,TROTOSARI,desa
3511050006,SULEK,35.11.03.2005,SULEK,desa
3511050007,JEBUNG KIDUL,35.11.03.2004,JEBUNG KIDUL,desa
3511050008,JEBUNG LOR,35.11.03.2009,JEBUNG LOR,desa
3511050009,PATEMON,35.11.03.2008,PATEMON,desa
3511050010,BRAMBANG DARUSSALAM,35.11.03.2010,BRAMBANG DARUSSALAM,desa
3511060001,PECALONGAN,35.11.04.2003,PECALONGAN,desa
3511060006,NOGOSARI,35.11.04.2002,NOGOSARI,desa
3511060007,SUKOSARI LOR,35.11.04.2001,SUKOSARI LOR,desa
3511060008,KERANG,35.11.04.2004,KERANG,desa
3511061001,SUKOSARI KIDUL,35.11.18.2003,SUKOSARI KIDUL,desa
3511061002,TEGAL JATI,35.11.18.2004,TEGALJATI,desa
3511061003,REJO AGUNG,35.11.18.2005,REJO AGUNG,desa
3511061004,SUKOREJO,35.11.18.2001,SUKOREJO,desa
3511061005,SUMBER GADING,35.11.18.2002,SUMBER GADING,desa
3511061006,SUMBERWRINGIN,35.11.18.2006,SUMBERWRINGIN,desa
3511070001,WONOKUSUMO,35.11.10.2001,WONOKUSUMO,desa
3511070002,MANGLI WETAN,35.11.10.2002,MANGLI WETAN,desa
3511070003,GUNUNGANYAR,35.11.10.2005,GUNUNG ANYAR,desa
3511070004,JURANGSAPI,35.11.10.2006,JURANG SAPI,desa
3511070005,CINDOGO,35.11.10.2007,CINDOGO,desa
3511070006,KALITAPEN,35.11.10.2008,KALITAPEN,desa
3511070007,MRAWAN,35.11.10.2004,MRAWAN,desa
3511070008,TAAL,35.11.10.2003,TAAL,desa
3511070009,TAPEN,35.11.10.2009,TAPEN,desa
3511080001,LOMBOK KULON,35.11.09.2001,LOMBOK KULON,desa
3511080002,LOMBOK WETAN,35.11.09.2002,LOMBOK WETAN,desa
3511080003,TUMPENG,35.11.09.2003,TUMPENG,desa
3511080004,JUMPONG,35.11.09.2004,JUMPONG,desa
3511080005,TANGSIL WETAN,35.11.09.2005,TANGSIL WETAN,desa
3511080006,PASAREJO,35.11.09.2006,PASAREJO,desa
3511080007,BENDOARUM,35.11.09.2007,BENDOARUM,desa
3511080008,KAPURAN,35.11.09.2008,KAPURAN,desa
3511080009,SUMBERKALONG,35.11.09.2009,SUMBERKALONG,desa
3511080010,TRAKTAKAN,35.11.09.2010,TRAKTAKAN,desa
3511080011,WONOSARI,35.11.09.2011,WONOSARI,desa
3511080012,PELALANGAN,35.11.09.2012,PELALANGAN,desa
3511090001,KONCER KIDUL,35.11.08.2006,KONCER KIDUL,desa
3511090002,SUMBERSALAM,35.11.08.2005,SUMBER SALAM,desa
3511090003,PEKALANGAN,35.11.08.2003,PEKALANGAN,desa
3511090004,KASEMEK,35.11.08.2001,KESEMEK,desa
3511090005,LOJAJAR,35.11.08.2002,LOJAJAR,desa
