kode_bps,nama_bps,kode_dagri,nama_dagri,level
9415033001,OMANASEP,91.18.19.2003,OMANESEP,desa
9415033002,WARKAI,91.18.19.2004,WARKAI,desa
9415033003,YOU,91.18.19.2005,YAUW,desa
9415033004,BIWAR LAUT,91.18.19.2001,BIWAR LAUT,desa
9415033005,ATAMBUTS,91.18.19.2002,ATAMBUTS,desa
9415033006,DESEP,91.18.19.2007,DESEP,desa
9415033007,PIRPIS,91.18.19.2006,PIRPIS,desa
9415040001,JINAK,91.18.07.2014,JINAK,desa
9415040002,WOWI,91.18.07.2015,WOWI,desa
9415040007,KARBIS,91.18.07.2013,KARBIS,desa
9415040008,BUBIS,91.18.07.2012,BUBIS,desa
9415040009,BINAM,91.18.07.2001,BINAM,desa
9415040010,BURBIS,91.18.07.2010,BURBIS,desa
9415040011,WAGANU DUA,91.18.07.2023,WAGANU DUA,desa
9415040014,SORAI,91.18.07.2020,SORAY,desa
9415040015,WAGABUS,91.18.07.2009,WAGABUS,desa
9415040016,EMNAM,91.18.07.2040,EMNAM,desa
9415041001,BINAMZAIN,91.18.09.2001,BINAMSAIN,desa
9415041002,PIRABANAK,91.18.09.2002,PIRABANAK,desa
9415041003,WOUTU BRAZA,91.18.09.2003,WOUTU BRASA,desa
9415041004,PATIPPI,91.18.09.2004,PATIPI,desa
9415041005,WOUTU KOLOF,91.18.09.2006,WOUTU KOLOF,desa
9415041006,SIPANAP,91.18.09.2008,SIPENAP,desa
9415041007,PEPERA,91.18.09.2011,PEPERA,desa
9415041008,ULAKIN,91.18.09.2005,ULAKIN,desa
9415041009,WAIJENS,91.18.07.2030,WAIJENS,desa
9415041010,BUTUKATNAU,91.18.09.2007,BUTUKATNAU,desa
9415041011,AUBAN,91.18.09.2010,AUBAN,desa
9415041016,BUMU,91.18.07.2034,BUMU,desa
9415041019,KAPAYAP I,91.18.07.2037,KAPAYAP SATU,desa
9415041020,KAPAYAP II,91.18.07.2038,KAPAYAP DUA,desa
9415050005,AYAM / AKAT,91.18.04.2001,AYAM,desa
9415050006,MANEP,91.18.04.2004,MENEPSIMNI,desa
9415050007,BECO,91.18.04.2005,BECO,desa
9415050008,YUNI,91.18.04.2006,YUNI,desa
9415050009,BETKUAR,91.18.04.2007,BUETKWAR,desa
9415050013,WAW CESAW,91.18.04.2010,WAW,desa
9415050014,BAYIW PINAM,91.18.04.2011,BAYIW PINAM,desa
9415050015,CUMNEW,91.18.04.2012,CUMNEW,desa
9415050016,JEWES DOAR,91.18.04.2013,JEWES,desa
9415050018,FAKAN,91.18.04.2016,FAKAN,desa
9415050019,SIMINI,91.18.04.2017,SIMINI,desa
9415051001,SESAKAM,91.18.13.2004,SISAKEM,desa
9415051003,JETSY,91.18.13.2001,YETSY,desa
9415051004,PAU,91.18.13.2003,PAU,desa
9415051005,AKAMAR,91.18.13.2005,AKAMAR,desa
9415051006,BIRAK,91.18.13.2006,BIRAK,desa
9415051007,KATEW,91.18.13.2007,KATEW,desa
9415051008,DAWER,91.18.13.2008,DAWER,desa
9415060001,BERITEN,91.18.01.2008,BRITEN,desa
9415060002,UWUS,91.18.01.2002,UWUS,desa
9415060003,PER,91.18.01.2007,PER,desa
9415060004,YOMOTH,91.18.01.2001,YOMOTH,desa
9415060005,ASUWETSY,91.18.01.2004,ASUWETSY,desa
9415060006,BIS AGATS,91.18.01.2006,BIS AGATS,desa
9415060007,BISMAM,91.18.01.2005,BISMAN,desa
9415060010,MBAIT,91.18.01.2010,MBAIT,desa
9415060011,BOU,91.18.01.2011,BOU,desa
9415060012,KAYE,91.18.01.2013,KAYE,desa
9415060013,SUWRU,91.18.01.2014,SUWRU,desa
9415060014,SAW,91.18.01.2012,SAW,desa
9415070003,ERMA,91.18.03.2006,ERMA,desa
9415070004,SONA,91.18.03.2020,SONA,desa
9415070013,BU,91.18.03.2009,BU,desa
9415070014,ER,91.18.03.2018,ER,desa
9415070015,SAWA,91.18.03.2005,SAWA,desa
9415070025,PUPIS,91.18.03.2019,PUPIS,desa
9415070026,AGANI,91.18.03.2026,AGANI,desa
9415070027,MUMUGU,91.18.03.2027,MUMUGU,desa
9415070029,SAUTI,91.18.03.2038,SAUTI,desa
9415070032,MUMUGU II,91.18.03.2043,MUMUGU DUA,desa
9415071001,TOMOR,91.18.08.2007,TOMOR,desa
9415071002,JIFAK,91.18.08.2008,JIFAK,desa
9415071003,TII,91.18.08.2004,TII,desa
9415071004,SAGAPU,91.18.08.2006,SAGAPU,desa
9415071005,JESENKO,91.18.08.2005,YENSUKU,desa
9415071006,KOBA,91.18.08.2003,KOBA,desa
9415071007,SEE,91.18.08.2002,SEE,desa
9415071008,SURU-SURU,91.18.08.2001,SURU-SURU,desa
9415071009,DUMATEN,91.18.08.2009,DUMATEN,desa
9415071010,HOM-HOM,91.18.08.2010,HOM-HOM,desa
9415071011,AJIN,91.18.08.2011,AJIN,desa
9415071012,KOROBUK,91.18.08.2018,KOROBUK,desa
9415071013,KATALINA,91.18.08.2019,KATALINA,desa
9415071014,OBIO,91.18.08.2020,OBIO,desa
9415071015,SALBIK,91.18.08.2021,SALBIK,desa
9415071016,LINDUK,91.18.08.2022,LINDUK,desa
9415071017,BESIKA,91.18.08.2023,BESIKA,desa
9415071018,LALUK,91.18.08.2012,LALUK,desa
9415071019,KEBIKDUK,91.18.08.2013,KEBIKDUK,desa
9415071020,HULAM,91.18.08.2014,HULAM,desa
9415071021,WALASE,91.18.08.2015,WALASE,desa
9415071022,BERIMONO,91.18.08.2016,BERIMONO,desa
9415071023,ASGUN,91.18.08.2017,ASGUN,desa
9415072001,KOMOR,91.18.10.2001,KOMOR,desa
9415072002,WARER,91.18.10.2006,WERER,desa
9415072003,AYIR,91.18.10.2005,AYIR,desa
9415072004,PAAR,91.18.10.2009,PAAR,desa
9415072005,AMOR,91.18.10.2002,AMOR,desa
9415072006,BERIP,91.18.10.2004,BERIP,desa
9415072007,JIPAWER,91.18.10.2003,YIPAWER,desa
9415072008,MUNU,91.18.10.2007,MUNU,desa
9415072009,ABAMU,91.18.10.2008,ABAMU,desa
9415073001,YENI,91.18.11.2002,YEMI,desa
9415073002,YAMAS,91.18.11.2001,YAMAS,desa
9415073003,OMOR,91.18.11.2003,OMOR,desa
9415073004,ONAVAI,91.18.11.2006,ONAVAI,desa
9415073005,YUFRI,91.18.11.2004,YUFRI,desa
9415073006,YAUN,91.18.11.2005,YAUN,desa
9415074001,WEO,91.18.12.2009,WEO,desa
9415074002,AS,91.18.12.2002,AS,desa
9415074003,ATAT,91.18.12.2003,ATAT,desa
9415074004,KAPI,91.18.12.2001,KAPI,desa
9415074005,NAKAI,91.18.12.2005,NAKAI,desa
9415074006,AOU,91.18.12.2004,AOU,desa
9415074007,ESMAPAN,91.18.12.2006,ESMAPAN,desa
9415074008,EROKO,91.18.12.2007,EROKO,desa
9415074009,YAKAPIS,91.18.12.2008,YAKAPIS,desa
9415074010,FUMEIRIPITS,91.18.12.2011,FUMERIPIT,desa
9415074011,AOAP,91.18.12.2010,AOEP,desa
9416010025,IBIROMA,91.13.01.2003,IBIROMA,desa
9416010026,WANEM,91.13.01.2015,WANEM,desa
9416010027,ANJELMA,91.13.01.2016,ANJELMA,desa
9416010028,OBOLMA,91.13.01.1001,OBOLMA,desa
9416010029,HIHUNDES,91.13.01.2013,HIHUNDES,desa
9416010038,KILISE,91.13.01.2040,KILISE,desa
9416010039,KIMA,91.13.01.2045,KIMA,desa
9416010040,LUHULEMA,91.13.01.2043,LUKULEMA,desa
9416010041,YAGARELO,91.13.01.2046,YAGARELO,desa
9416010042,WULIK PUNUA,91.13.01.2039,WULIK PUNUA,desa
9416010043,ESALIEN,91.13.01.2042,ESALIEN,desa
9416010044,TUKUAREK,91.13.01.2044,TUKUAREK,desa
9416010045,LOTIA/HUGLOT,91.13.01.2049,LOTIA,desa
9416010046,PUSUAGA,91.13.01.2038,PUSUAGA,desa
9416010047,SOROH,91.13.01.2047,SOROH,desa
9416010048,EROMA,91.13.01.2048,EROMA,desa
9416010049,AIR GARAM,91.13.01.2041,AIR GARAM,desa
9416010050,WULUAGAIMA,91.13.01.2050,WULUAGAIMA,desa
9416010051,HUKEN,91.13.01.2051,HUKEN,desa
9416010052,HUGUMA,91.13.01.2052,HUGUMA,desa
9416010053,PARELA,91.13.01.2053,PARELA,desa
9416010054,HESMAT,91.13.01.2055,HESMAT,desa
9416011001,LIDIPMU,91.13.14.2002,LIDIPMU,desa
9416011002,USAREGEIK,91.13.14.2001,USAREGEIK,desa
9416011003,SUMEGEN,91.13.14.2003,SUMEGEN,desa
9416011004,HENDIKMA,91.13.14.2004,HENDIKMA,desa
9416011005,BUE,91.13.14.2005,BUE,desa
9416011006,DEKBOK,91.13.14.2007,DEKBOK,desa
9416011007,WELEHEIKMA,91.13.14.2009,WELEHEIKMA,desa
