kode_bps,nama_bps,kode_dagri,nama_dagri,level
6405010001,MERAPUN,64.03.01.2003,MERAPUN,desa
6405010002,MERABU,64.03.01.2001,MERABU,desa
6405010003,MAPULU,64.03.01.2012,MAPULU,desa
6405010004,PANAAN,64.03.01.2002,PANAAN,desa
6405010005,MERASA,64.03.01.2005,MERASA,desa
6405010006,MUARA LESAN,64.03.01.2004,MUARA LESAN,desa
6405010007,LESAN DAYAK,64.03.01.2006,LESAN DAYAK,desa
6405010008,SIDO BANGEN,64.03.01.2014,SIDO BANGEN,desa
6405010009,LONG BELIU,64.03.01.2007,LONG BELIU,desa
6405010010,LONG DUHUNG,64.03.01.2008,LONG DUHUNG,desa
6405010011,LONG KELUH,64.03.01.2010,LONG KELUH,desa
6405010012,LONG PELAY,64.03.01.2011,LONG PELAY,desa
6405010013,LONG LAMCIN,64.03.01.2009,LONG LAMCIN,desa
6405010014,LONG SULUI,64.03.01.2013,LONG SULUI,desa
6405020003,CAMPUR SARI,64.03.02.2014,CAMPUR SARI,desa
6405020004,BUMI JAYA,64.03.02.2015,BUMI JAYA,desa
6405020006,TUNGGAL BUMI,64.03.02.2016,TUNGGAL BUMI,desa
6405020007,DUMARING,64.03.02.2002,DUMARING,desa
6405020008,SUKA MURYA,64.03.02.2018,SUKA MURYA,desa
6405020009,PURNA SARI JAYA,64.03.02.2019,PURNA SARI JAYA,desa
6405020010,SUMBER MULIA,64.03.02.2017,SUMBER MULYA,desa
6405020011,EKA SAPTA,64.03.02.2021,EKA SAPTA,desa
6405020012,TALISAYAN,64.03.02.2003,TALISAYAN,desa
6405020013,CAPUAK,64.03.02.2023,CAPUAK,desa
6405021004,TABALAR MUARA,64.03.10.2002,TABALAR MUARA,desa
6405021005,HARAPAN MAJU,64.03.10.2007,HARAPAN MAJU,desa
6405021006,TABALAR ULU,64.03.10.2004,TABALAR ULU,desa
6405021007,TUBAAN,64.03.10.2003,TUBAAN,desa
6405021008,SEMURUT,64.03.10.2005,SEMURUT,desa
6405021009,RADAK/BUYUNG-BUYUNG,64.03.10.2006,BUYUNG-BUYUNG,desa
6405030001,TELUK SUMBANG,64.03.08.2004,TELUK SUMBANG,desa
6405030002,BIDUK-BIDUK,64.03.08.2001,BIDUK-BIDUK,desa
