kode_bps,nama_bps,kode_dagri,nama_dagri,level
5305010001,NOEPESU,53.03.02.2001,NOEPESU,desa
5305010002,FATUNENO,53.03.02.2002,FATUNENO,desa
5305010003,EBAN,53.03.02.1026,EBAN,desa
5305010004,SALLU,53.03.02.1027,SALLU,desa
5305010005,SUANAE,53.03.02.2003,SUANAE,desa
5305010006,LEMON,53.03.02.2004,LEMON,desa
5305010007,FATUNISUAN,53.03.02.2005,FATUNISUAN,desa
5305010008,HAULASI,53.03.02.2006,HAULASI,desa
5305010020,NOELTOKO,53.03.02.2018,NEOTOKO,desa
5305010021,FATUTASU,53.03.02.2019,FATUTASU,desa
5305010022,MANUSASI,53.03.02.2020,MANUSASI,desa
5305010023,SAENAM,53.03.02.2025,SAENAM,desa
5305010024,SATAB,53.03.02.2028,SA'TAB,desa
5305011001,TUABATAN,53.03.11.2001,TUABATAN,desa
5305011002,AKOMI,53.03.11.2002,AKOMI,desa
5305011003,BIJAEPASU,53.03.11.2003,BIJAEPASU,desa
5305011004,NOENASI,53.03.11.2004,NEONASI,desa
5305011005,NIAN,53.03.11.2005,N I A N,desa
5305011006,TUABATAN BARAT,53.03.11.2006,TUABATAN BARAT,desa
5305012001,OELNEKE,53.03.12.2001,OELNEKE,desa
5305012002,OETULU,53.03.12.2002,OETULU,desa
5305012003,AINAN,53.03.12.2004,AINAN,desa
5305012004,OEOLO,53.03.12.2003,OEOLO,desa
5305012005,BISAFE,53.03.12.2005,BISAFE,desa
5305012006,BATNES,53.03.12.2006,BATNES,desa
5305013001,TASINIFU,53.03.13.2001,TASINIFU,desa
5305013002,NAEKAKE A,53.03.13.2002,NAEKAKE A,desa
5305013003,NAEKAKE B,53.03.13.2003,NAEKAKE B,desa
5305013004,NOELELO,53.03.13.2004,NOELELO,desa
5305020032,OESENA,53.03.01.1020,OESENA,desa
5305020033,TAEKAS,53.03.01.2025,TAEKAS,desa
5305020034,FEMNASI,53.03.01.2024,FEMNASI,desa
5305020035,JAK,53.03.01.2021,JAK,desa
5305020036,TUNOE,53.03.01.2023,TUNOE,desa
5305020037,TUNTUN,53.03.01.2022,TUNTUN,desa
5305020038,BOKON,53.03.01.2005,BOKON,desa
5305020039,KAENBAUN,53.03.01.2007,KEANBAUN,desa
5305020040,FATUSENE,53.03.01.2019,FATUSENE,desa
5305020041,AMOL,53.03.01.2018,AMOL,desa
5305020051,BITEFA,53.03.01.1006,BITEFA,desa
5305021001,KIUOLA,53.03.04.1015,KIUOLA,desa
5305021002,S E O,53.03.04.2003,SEO,desa
5305021003,NOEBAUN,53.03.04.2002,NOEBAUN,desa
5305021004,POPNAM,53.03.04.2004,POPNAM,desa
5305021008,NIBAAF,53.03.04.2009,NIBAAF,desa
5305021010,OENAK,53.03.04.1011,OENAK,desa
5305021011,NIFUBOKE,53.03.04.1012,NIFUBOKE,desa
5305021012,BIJELI,53.03.04.2001,BIJELI,desa
5305021013,NOEMUTI,53.03.04.1013,NOEMUTI,desa
5305021014,FATUMUTI,53.03.04.1014,FATUMUTI,desa
5305021015,BANFANU,53.03.04.2010,BANFANU,desa
5305021016,OEPERIGI,53.03.04.2016,OEPERIGI,desa
5305022001,MAURISU,53.03.14.2004,MAURISU,desa
5305022002,NAIOLA,53.03.14.2003,NAIOLA,desa
5305022003,OETALUS,53.03.14.2005,OETALUS,desa
5305022004,OELAMI,53.03.14.1001,OELAMI,desa
5305022005,KIUSILI,53.03.14.2002,KIUSILI,desa
5305022006,MAURISU UTARA,53.03.14.2007,MAURISU UTARA,desa
5305022007,MAURISU SELATAN,53.03.14.2008,MAURISU SELATAN,desa
5305022008,TUBLOPO,53.03.14.1006,TUBLOPO,desa
5305022009,MAURISU TENGAH,53.03.14.2009,MAURISU TENGAH,desa
5305022010,NAIOLA TIMUR,53.03.14.2010,NAIOLA TIMUR,desa
5305023001,NIMASI,53.03.15.2003,NIMASI,desa
5305023002,KUANEK,53.03.15.2005,KUENAK,desa
5305023003,BUK,53.03.15.2001,BUK,desa
5305023004,OELBONAK,53.03.15.2004,OELBONAK,desa
5305023005,OENENU,53.03.15.2002,OENENU,desa
5305023006,OENINO,53.03.15.2006,OENINO,desa
5305023007,OENENU UTARA,53.03.15.2007,OENENU UTARA,desa
5305023008,OENENU SELATAN,53.03.15.2008,OENENU SELATAN,desa
5305023009,SONO,53.03.15.2009,SONO,desa
5305024001,NILULAT,53.03.16.2005,NILULAT,desa
5305024002,TUBU,53.03.16.2006,TUBU,desa
5305024003,HAUMENI 'ANA,53.03.16.2004,HAUMENI ANA,desa
5305024004,SUNKAEN,53.03.16.2002,SUNKAEN,desa
5305024005,NAINABAN,53.03.16.2003,NAINABAN,desa
5305024006,INBATE,53.03.16.2001,INBATE,desa
5305025001,FAENNAKE,53.03.17.2001,FAENAKE,desa
5305025002,BAAS,53.03.17.2009,BAAS,desa
5305025003,HAUMENI,53.03.17.2008,HAUMENI,desa
5305025004,NAPAN,53.03.17.2007,NAPAN,desa
5305025005,TES,53.03.17.2006,TES,desa
5305025006,SAINONI,53.03.17.2005,SAINONI,desa
5305025007,BANAIN,53.03.17.2002,BANAIN A,desa
5305025008,BANAIN B,53.03.17.2003,BANAIN B,desa
5305025009,BANAIN C,53.03.17.2004,BANAIN C,desa
5305026001,SUNSEA,53.03.18.2004,SUNSEA,desa
5305026002,BAKITOLAS,53.03.18.2003,BAKITOLAS,desa
5305026003,BENUS,53.03.18.2002,BENUS,desa
5305026004,MANAMAS,53.03.18.2001,MANAMAS,desa
5305027001,NAOB,53.03.10.2001,NAOB,desa
5305027002,HAEKTO,53.03.10.2002,HAEKTO,desa
5305027003,MANIKIN,53.03.10.2003,MANIKIN,desa
5305027004,KUAKEN,53.03.10.2004,KUAKEN,desa
5305030001,MAUBELI,53.03.05.1008,MAUBELI,desa
5305030002,SASI,53.03.05.1009,SASI,desa
5305030004,TUBUHUE,53.03.05.1007,TUBUHUE,desa
5305030005,KEFAMENANU SELATAN,53.03.05.1006,KEFAMENANU SELATAN,desa
5305030006,BENPASI,53.03.05.1005,BENPASI,desa
5305030007,BANSONE,53.03.05.1004,BANSONE,desa
5305030008,KEFAMENANU TENGAH,53.03.05.1003,KEFAMENANU TENGAH,desa
5305030009,APLASI,53.03.05.1002,APLASI,desa
5305030010,KEFAMENANU UTARA,53.03.05.1001,KEFAMENANU UTARA,desa
5305040006,NANSEAN,53.03.08.2005,NANSEAN,desa
5305040007,SUSULAKU,53.03.08.2006,SUSULAKU,desa
5305040008,AINIUT,53.03.08.1015,AINIUT,desa
5305040009,LOERAM,53.03.08.2007,LOERAM,desa
5305040010,OINBIT,53.03.08.2017,OENBIT,desa
5305040011,NUNMAFO,53.03.08.1016,NUNMAFO,desa
5305040012,MANUNAIN  A,53.03.08.1018,MANUNAIN A,desa
5305040013,MANUNAIN  B,53.03.08.2008,MANUNAIN B,desa
5305040014,TAPENPAH,53.03.08.2010,TAPENPAH,desa
5305040015,SEKON,53.03.08.2011,SEKON,desa
5305040027,SUSULAKU B,53.03.08.2022,SUSULAKU B,desa
5305040029,KEUN,53.03.08.2025,KEUN,desa
5305040030,FATOIN,53.03.08.1024,FATOIN,desa
5305040031,NANSEAN TIMUR,53.03.08.2028,NANSEAN TIMUR,desa
5305040032,BITAUNI,53.03.08.1029,BITAUNI,desa
5305040033,FATUANA,53.03.08.2026,FATU'ANA,desa
5305040034,BOTOF,53.03.08.2027,BOTOF,desa
5305041006,HUMUSU A,53.03.09.1010,HUMUSU C,desa
5305041007,FATUMTASA,53.03.09.2006,FATUMTASA,desa
5305041009,OESOKO,53.03.09.2007,OESOKO,desa
5305041010,HUMUSU WINI,53.03.09.2008,HUMUSU SAINIUP,desa
5305042001,SUBUN,53.03.20.2001,SUBUN,desa
5305042002,LAPEOM,53.03.20.2003,LAPEOM,desa
5305042003,USAPINONOT,53.03.20.2002,USAPINONOT,desa
5305042005,LETNEO,53.03.20.2004,LETNEO,desa
5305042006,BANAE,53.03.20.2005,BANNAE,desa
5305042007,DESA ADMEN,53.03.20.1006,ATMEN,desa
5305042008,SUBUN BESTOBE,53.03.20.2011,SUBUN BESTOBE,desa
5305042009,SUBUN TUALELE,53.03.20.2012,SUBUN TUALELE,desa
5305042010,NIFUNENAS,53.03.20.2010,NIFUNENAS,desa
5305042011,OABIKASE,53.03.20.2009,OABIKASE,desa
5305042012,LETNEO SELATAN,53.03.20.2008,LETNEO SELATAN,desa
5305043001,LANAUS,53.03.21.2001,LANAUS,desa
5305043002,LETMAFO,53.03.21.2002,LETMAFO,desa
5305043003,MAUBESI,53.03.21.1004,MAUBESI,desa
5305043004,TAINSALA,53.03.21.2003,TAINSALA,desa
5305043005,SONE,53.03.21.2005,SONE,desa
5305043006,OEHALO,53.03.21.2007,OEHALO,desa
5305043007,LETMAFO TIMUR,53.03.21.2006,LETMAFO TIMUR,desa
5305044001,OENAIN,53.03.19.2004,OENAIN,desa
5305044002,FAFINESU B,53.03.19.2002,FAFINESU B,desa
5305044003,FAFINESU A,53.03.19.2001,FAFINESU A,desa
5305044004,FAFINESU C,53.03.19.2003,FAFINESU C,desa
5305044005,BANUAN,53.03.19.2005,BAUNUAN,desa
5305044006,FAFINESU,53.03.19.2006,FAFINESU,desa
5305050001,PANTAE,53.03.03.2001,PANTAE,desa
5305050002,OENAEM,53.03.03.2002,OENAEM,desa
5305050003,UPFAON,53.03.03.1003,UP FAON,desa
5305050007,TAUTPAH,53.03.03.2007,TAUTPAH,desa
5305050010,TOKBESI,53.03.03.2009,TOKBESI,desa
5305050011,SUPUN,53.03.03.1011,SUPUN,desa
5305050012,SAINIUP,53.03.03.2010,SAINIUP,desa
5305050013,TUNBAEN,53.03.03.2012,TUNBAEN,desa
5305051001,T'EBA,53.03.22.2001,TEBA,desa
5305051002,OERINBESI,53.03.22.2002,OERINBESI,desa
5305051003,OEKOPA,53.03.22.2003,OEKOPA,desa
5305051004,T'EBA TIMUR,53.03.22.2004,T'EBA TIMUR,desa
5305052001,TUNBES,53.03.23.2001,TUNBES,desa
5305052002,LUNIUP,53.03.23.2002,LUNIUP,desa
5305052003,MATABESI,53.03.23.2003,MATABESI,desa
5305052004,KAUBELE,53.03.23.2005,KAUBELE,desa
5305052005,OEPUAH,53.03.23.2004,OEPUAH,desa
5305052006,OEPUAH UTARA,53.03.23.2006,OEPUAH UTARA,desa
5305052007,OEPUAH SELATAN,53.03.23.2007,OEPUAH SELATAN,desa
5305060004,SAPAEN,53.03.06.2006,SAPAEN,desa
5305060005,TAUNBAEN,53.03.06.2005,TAUNBAEN,desa
5305060006,TUALENE,53.03.06.2003,TUALENA,desa
5305060007,BILOE,53.03.06.2004,BILOE,desa
5305060008,HAUTEAS,53.03.06.2002,HAUTAES,desa
5305060009,BORONUBAEN,53.03.06.1001,BORONUBAEN,desa
5305060010,LOKOMEA,53.03.06.2012,LOKOMEA,desa
5305060011,TAUNBAEN TIMUR,53.03.06.2013,TAUNBAEN TIMUR,desa
5305060012,HAUTEAS BARAT,53.03.06.2014,HAUTEAS BARAT,desa
5305060013,BORONUBAEN TIMUR,53.03.06.1015,BORONUBAEN TIMUR,desa
5305061001,SIFANIHA,53.03.07.2003,SIFANIHA,desa
5305061002,MOTADIK,53.03.07.2001,MOTADIK,desa
5305061003,NONATBATAN,53.03.07.2002,NONOTBATAN,desa
5305061004,TUAMESE,53.03.07.2006,TUAMESE,desa
5305061005,MAUKABATAN,53.03.07.2004,MAUKABATAN,desa
5305061006,KOTAFOUN,53.03.07.2005,KOTAFOUN,desa
5305061007,PONU,53.03.07.1007,PONU,desa
5305061008,OEMANU,53.03.07.2008,OEMANU,desa
5305061009,NIFUTASI,53.03.07.2009,NIFUTASI,desa
5305062001,MANUMEAN,53.03.24.2004,MANUMEAN,desa
5305062002,KULUAN,53.03.24.2005,KULUAN,desa
5305062003,NAKU,53.03.24.2001,NAKU,desa
5305062004,MAKUN,53.03.24.2003,MAKUN,desa
5305062005,BIRUNATUN,53.03.24.2002,BIRUNATUN,desa
5306032001,TASAIN,53.04.13.2009,TASAIN,desa
5306032002,TEUN,53.04.13.2008,TEUN,desa
5306032003,RENRUA,53.04.13.2002,RENRUA,desa
5306032004,MANDEU RAIMANUS,53.04.13.2001,MANDEU RAIMANUS,desa
5306032005,FATURIKA,53.04.13.2006,FATURIKA,desa
5306032006,RAFAE,53.04.13.2005,RAFAE,desa
5306032007,DUAKORAN,53.04.13.2003,DUA KORAN,desa
5306032008,MANDEU,53.04.13.2004,MANDEU,desa
5306032009,LEUNTOLU,53.04.13.2007,LEUNTOLU,desa
5306050001,RINBESIHAT,53.04.04.2006,RINBESIHAT,desa
5306050002,NAITIMU,53.04.04.2007,NAITIMU,desa
5306050004,LAWALUTOLUS,53.04.04.2009,LAWALUTOLUS,desa
5306050008,LOOKEU,53.04.04.2003,LOOKEU,desa
5306050009,DEROK FATURENE,53.04.04.2004,DEROKFATURENE,desa
5306050010,BAKUSTULAMA,53.04.04.2005,BAKUSTULAMA,desa
5306050011,NAEKASA,53.04.04.2002,NAEKASA,desa
5306050012,TUKUNENO,53.04.04.2001,TUKUNENO,desa
5306051001,FATUKETY,53.04.05.2001,FATUKETI,desa
5306051002,KABUNA,53.04.05.2006,KABUNA,desa
5306051003,KENEBIBI,53.04.05.2004,KENEBIBI,desa
5306051004,JENILU,53.04.05.2003,JENILU,desa
5306051005,LEOSAMA,53.04.05.2005,LEOSAMA,desa
5306051006,DUALAUS,53.04.05.2002,DUALAUS,desa
5306052001,DUBESI,53.04.23.2001,DUBESI,desa
5306052002,NANAET,53.04.23.2002,NANAET,desa
5306052003,FOHOEKA,53.04.23.2003,FOHOEKA,desa
5306052004,NANAENOE,53.04.23.2004,NANAENOE,desa
5306060005,FATUBENAO,53.04.12.1010,FATUBENAO,desa
5306060006,ATAMBUA,53.04.12.1001,KOTA ATAMBUA,desa
5306060011,MANUMUTIN,53.04.12.1003,MANUMUTIN,desa
5306060012,TENUKIIK,53.04.12.1002,TENUKIIK,desa
5306061001,BEIRAFU,53.04.21.1004,BEIRAFU,desa
5306061002,BERDAO,53.04.21.1001,BARDAO,desa
5306061003,TULAMALAE,53.04.21.1002,TULAMALAE,desa
5306061004,UMANEN,53.04.21.1003,UMANEN,desa
5306062001,FATUKBOT,53.04.22.1004,FATUKBOT,desa
5306062002,LIDAK,53.04.22.1003,LIDAK,desa
5306062003,MANUAMAN,53.04.22.1001,MANUAMAN,desa
5306062004,RINBESI,53.04.22.1002,RINBESI,desa
5306070001,FATUBA'A,53.04.02.2006,FATUBA'A,desa
5306070002,DAFALA,53.04.02.2007,DAFALA,desa
5306070003,TAKIRIN,53.04.02.2008,TAKIRIN,desa
5306070004,MANLETEN,53.04.02.2005,MANLETEN,desa
5306070005,UMAKLARAN,53.04.02.2004,UMAKLARAN,desa
5306070006,TULAKADI,53.04.02.2002,TULAKADI,desa
5306070007,SILAWAN,53.04.02.2001,SILAWAN,desa
5306070008,S A D I,53.04.02.2003,SADI,desa
5306070009,SARABAU,53.04.02.2010,SARABAU,desa
5306070010,BAUHO,53.04.02.2009,BAUHO,desa
