kode_bps,nama_bps,kode_dagri,nama_dagri,level
1509040001,TANJUNG,15.08.05.2010,TANJUNG,desa
1509040002,CANDI,15.08.05.2009,CANDI,desa
1509040003,TELENTAM,15.08.05.2015,TELENTAM,desa
1509040004,PASAR RANTAU EMBACANG,15.08.05.2017,PASAR RANTAU EMBACANG,desa
1509040005,SUNGAI GAMBIR,15.08.05.2007,SUNGAI GAMBIR,desa
1509040006,PASAR LUBUK LANDAI,15.08.05.2006,PASAR LUBUK LANDAI,desa
1509040007,TANAH BEKALI,15.08.05.2012,TANAH BEKALI,desa
1509040008,EMPELU,15.08.05.2003,EMPELU,desa
1509040009,TELUK PANDAK,15.08.05.2001,TELUK PANDAK,desa
1509040010,TENAM,15.08.05.2019,TENAM,desa
1509041001,EMBACANG GEDANG,15.08.17.2006,EMBACANG GEDANG,desa
1509041002,SUNGAI MANCUR,15.08.17.2001,SUNGAI MANCUR,desa
1509041003,TANAH PERIUK,15.08.17.2002,TANAH PERIUK,desa
1509041004,LUBUK LANDAI,15.08.17.2003,LUBUK LANDAI,desa
1509041005,PEMATANG PANJANG,15.08.17.2009,PEMATANG PANJANG,desa
1509041006,TEBING TINGGI,15.08.17.2005,TEBING TINGGI,desa
1509041007,RANTAU EMBACANG,15.08.17.2004,RANTAU EMBACANG,desa
1509041008,PAKU AJI,15.08.17.2008,PAKU AJI,desa
1509041009,SUNGAI PURI,15.08.17.2007,SUNGAI PURI,desa
1509041010,SUNGAI LILIN,15.08.17.2010,SUNGAI LILIN,desa
1509041011,SUNGAI TEMBANG,15.08.17.2011,SUNGAI TEMBANG,desa
1509041012,RANTAU MAKMUR,15.08.17.2012,RANTAU MAKMUR,desa
1509050017,TEBING TINGGI ULEH,15.08.01.2006,TEBING TINGGI ULEH,desa
1509050018,BUKIT KEMANG,15.08.01.2007,BUKIT KEMANG,desa
1509050019,RAMBAH,15.08.01.2005,RAMBAH,desa
1509050020,PEDUKUN,15.08.01.2001,PEDUKUN,desa
1509050021,LUBUK NIUR,15.08.01.2002,LUBUK NIUR,desa
1509050022,TANAH TUMBUH,15.08.01.2004,TANAH TUMBUH,desa
1509050023,TELUK KECIMBUNG,15.08.01.2003,TELUK KECIMBUNG,desa
1509050024,PANJANG,15.08.01.2008,PANJANG,desa
1509050025,PERENTI LUWEH,15.08.01.2009,PERENTI LUWEH,desa
1509050027,KOTO JAYO,15.08.01.2016,KOTO JAYO,desa
1509050028,RENAH JELMU,15.08.01.2015,RENAH JELMU,desa
1509051001,RANTAU TIPU,15.08.07.2007,RANTAU TIPU,desa
1509051002,RENAH SUNGAI IPUH,15.08.07.2011,RENAH SUNGAI IPUH,desa
1509051003,PEMUNYIAN,15.08.07.2010,PEMUNYIAN,desa
1509051004,LUBUK TANAH TERBAN,15.08.07.2009,LBK. TANAH TERBAN,desa
1509051005,RENAH SUNGAI BESAR,15.08.07.2005,RENAH SUNGAI BESAR,desa
1509051006,TANJUNG BUNGO,15.08.07.2001,TANJUNG BUNGO,desa
1509051007,TUO LIMBUR,15.08.07.2004,TUO LIMBUR,desa
1509051008,MUARA TEBO PANDAK,15.08.07.2006,MUARO TEBO PANDAK,desa
1509051009,TEBO JAYA,15.08.07.2012,TEBO JAYA,desa
1509051010,SEKAR MENGKUANG,15.08.07.2013,SEKAR MENGKUANG,desa
1509051011,PAUH AGUNG,15.08.07.2003,PAUH AGUNG,desa
1509051012,BARU LUBUK MENGKUANG,15.08.07.2008,BARU LBK. MENGKUANG,desa
1509051013,TUO LUBUK MENGKUANG,15.08.07.2002,TUO LBK. MENGKUANG,desa
1509051018,LIMBUR BARU,15.08.07.2014,LIMBUR BARU,desa
1509052001,PULAU KERAKAP,15.08.15.2004,PULAU KERAKAP,desa
1509052002,PENINJAU,15.08.15.2002,PENINJAU,desa
1509052003,PELAYANG,15.08.15.2001,PELAYANG,desa
1509052004,TALANG SILUNGKO,15.08.15.2003,TALANG SILUNGKO,desa
1509052005,SEBERANG JAYA,15.08.15.2005,SEBERANG JAYA,desa
1509060001,TANJUNG BELIT,15.08.04.2001,TANJUNG BELIT,desa
1509060002,PULAU JELMU,15.08.04.2003,PULAU JELMU,desa
1509060003,RANTAU IKIL,15.08.04.2002,RANTAU IKIL,desa
1509060004,UJUNG TANJUNG,15.08.04.2005,UJUNG TANJUNG,desa
1509060005,SIRIH SEKAPUR,15.08.04.2004,SIRIH SEKAPUR,desa
1509060006,TALANG PEMESUN,15.08.04.2013,TALANG PAMESUN,desa
1509060007,RANTAU PANJANG,15.08.04.2009,RANTAU PANJANG,desa
1509060008,JUMBAK,15.08.04.2007,JUMBAK,desa
1509060009,BARU BALAI PANJANG,15.08.04.2014,BARU BALAI PANJANG,desa
1509061001,TEPIAN DANTO,15.08.16.2001,TEPIAN DANTO,desa
1509061002,AUR GADING,15.08.16.2002,AUR GADING,desa
1509061003,PULAU BATU,15.08.16.2003,PULAU BATU,desa
1509061004,SARI MULYA,15.08.16.2004,SARI MULYA,desa
1509061005,BUKIT SARI,15.08.16.2005,BUKIT SARI,desa
1509061006,LUBUK TENAM,15.08.16.2006,LUBUK TENAM,desa
1509061007,KUAMANG,15.08.16.2007,KUAMANG,desa
1571010003,SIMPANG III SIPIN,15.71.07.1002,SIMPANG III SIPIN,desa
1571010004,SUKA KARYA,15.71.07.1001,SUKA KARYA,desa
1571010005,KENALI ASAM BAWAH,15.71.07.1005,KENALI ASAM BAWAH,desa
1571010006,KENALI ASAM ATAS,15.71.07.1006,KENALI ASAM ATAS,desa
1571010007,PAAL LIMA,15.71.07.1004,PAAL LIMA,desa
1571011001,KENALI BESAR,15.71.09.1001,KENALI BESAR,desa
1571011002,RAWA SARI,15.71.09.1002,RAWA SARI,desa
1571011003,BAGAN PETE,15.71.09.1004,BAGAN PETE,desa
1571011004,BELIUNG,15.71.09.1005,BELIUNG,desa
1571011005,MAYANG MANGURAI,15.71.09.1003,MAYANG MANGURAI,desa
1571020003,PASIR PUTIH,15.71.02.1002,PASIR PUTIH,desa
1571020004,WIJAYA PURA,15.71.02.1005,WIJAYA PURA,desa
1571020005,PAKUAN BARU,15.71.02.1006,PAKUAN BARU,desa
1571020006,TAMBAK SARI,15.71.02.1003,TAMBAK SARI,desa
1571020007,THEHOK,15.71.02.1004,THEHOK,desa
1571021001,PAAL MERAH,15.71.11.1005,PAAL MERAH,desa
1571021002,TALANG BAKUNG,15.71.11.1001,TALANG BAKUNG,desa
1571021003,LINGKAR SELATAN,15.71.11.1004,LINGKAR SELATAN,desa
1571021004,EKA JAYA,15.71.11.1003,EKA JAYA,desa
1571021005,PAYO SELINCAH,15.71.11.1002,PAYO SELINCAH,desa
1571030001,KEBUN HANDIL,15.71.08.1003,KEBUN HANDIL,desa
1571030002,JELUTUNG,15.71.08.1006,JELUTUNG,desa
1571030003,PAYO LEBAR,15.71.08.1005,PAYO LEBAR,desa
1571030004,LEBAK BANDUNG,15.71.08.1004,LEBAK BANDUNG,desa
1571030005,CEMPAKA PUTIH,15.71.08.1002,CEMPAKA PUTIH,desa
1571030006,TALANG JAUH,15.71.08.1001,TALANG JAUH,desa
1571030007,HANDIL JAYA,15.71.08.1007,HANDIL JAYA,desa
1571040001,BERINGIN,15.71.04.1001,BERINGIN,desa
1571040002,SUNGAI ASAM,15.71.04.1004,SUNGAI ASAM,desa
1571040003,ORANG KAYO HITAM,15.71.04.1002,ORANG KAYO HITAM,desa
1571040004,PASAR JAMBI,15.71.04.1003,PASAR JAMBI,desa
1571050001,PENYENGAT RENDAH,15.71.01.1010,PENYENGAT RENDAH,desa
1571050002,SIMPANG IV SIPIN,15.71.01.1001,SIMPANG IV SIPIN,desa
1571050003,TELANAIPURA,15.71.01.1004,TELANAIPURA,desa
1571050009,BULURAN KENALI,15.71.01.1002,BULURAN KENALI,desa
1571050010,TELUK KENALI,15.71.01.1003,TELUK KENALI,desa
1571050011,PEMATANG SULUR,15.71.01.1011,PEMATANG SULUR,desa
1571051001,SELAMAT,15.71.10.1004,SELAMAT,desa
1571051002,SUNGAI PUTRI,15.71.10.1001,SUNGAI PUTRI,desa
1571051003,SOLOK SIPIN,15.71.10.1005,SOLOK SIPIN,desa
1571051004,MURNI,15.71.10.1002,MURNI,desa
1571051005,LEGOK,15.71.10.1003,LEGOK,desa
1571060001,PASIR PANJANG,15.71.06.1001,PASIR PANJANG,desa
1571060002,TANJUNG RADEN,15.71.06.1002,TANJUNG RADEN,desa
1571060003,TANJUNG PASIR,15.71.06.1004,TANJUNG PASIR,desa
1571060004,OLAK KEMANG,15.71.06.1003,OLAK KEMANG,desa
1571060005,ULU GEDONG,15.71.06.1005,ULU GEDONG,desa
1571070001,TENGAH,15.71.05.1004,TENGAH,desa
1571070002,JELMU,15.71.05.1003,JELMU,desa
1571070003,MUDUNG LAUT,15.71.05.1002,MUDUNG LAUT,desa
1571070004,ARAB MELAYU,15.71.05.1001,ARAB MELAYU,desa
1571070005,TAHTUL YAMAN,15.71.05.1005,TAHTUL YAMAN,desa
1571070006,TANJUNG JOHOR,15.71.05.1006,TANJUNG JOHOR,desa
1571080001,SULAN JANA,15.71.03.1005,SULANJANA,desa
1571080002,BUDIMAN,15.71.03.1004,BUDIMAN,desa
1571080003,TALANG BANJAR,15.71.03.1003,TALANG BANJAR,desa
1571080005,TANJUNG SARI,15.71.03.1007,TANJUNG SARI,desa
1571080006,TANJUNG PINANG,15.71.03.1010,TANJUNG PINANG,desa
1571080007,RAJAWALI,15.71.03.1008,RAJAWALI,desa
1571080008,KASANG,15.71.03.1006,KASANG,desa
1571080009,KASANG JAYA,15.71.03.1002,KASANG JAYA,desa
1571080010,SIJENJANG,15.71.03.1001,SIJENJANG,desa
1572010001,DUSUN BARU DEBAI,15.72.04.2001,BARU DEBAI,desa
1572010002,PENDUNG HIANG,15.72.04.2002,PENDUNG HIANG,desa
1572010003,KOTO PADANG,15.72.04.2010,KOTO PADANG,desa
1572010004,MEKAR JAYA,15.72.04.2013,MEKAR JAYA,desa
1572010005,KOTO DUMO,15.72.04.2004,KOTO DUMO,desa
1572010006,SEMBILAN,15.72.04.2005,SEMBILAN,desa
1572010007,TANJUNG KARANG,15.72.04.2011,TANJUNG KARANG,desa
1572010008,KOTO PANAP,15.72.04.2007,KOTO PANAP,desa
1572010009,KOTO BARU TANAH KAMPUNG,15.72.04.2012,KT. BARU TANAH KAMPUNG,desa
1572010010,KOTO PUDUNG,15.72.04.2003,KOTO PUDUNG,desa
1572010011,KOTO TENGAH,15.72.04.2008,KOTO TENGAH,desa
1572010012,KOTO TUO,15.72.04.2006,KOTO TUO,desa
1572010013,TANJUNG BUNGA,15.72.04.2009,TANJUNG BUNGA,desa
1572020001,RENAH KAYU EMBUN,15.72.05.2007,RENAH KAYU EMBUN,desa
1572020002,AIR TELUH,15.72.05.2003,AIR TELUH,desa
1572020003,KUMUN MUDIK,15.72.05.2002,KUMUN MUDIK,desa
1572020004,MUARA JAYA,15.72.05.2009,MUARA JAYA,desa
1572020005,KUMUN HILIR,15.72.05.2001,KUMUN HILIR,desa
1572020006,ULU AIR,15.72.05.2008,ULU AIR,desa
1572020007,SANDARAN GALEH,15.72.05.2004,SANDARAN GALEH,desa
1572020008,PINGGIR AIR,15.72.05.2006,PINGGIR AIR,desa
1572020009,DEBAI,15.72.05.2005,DEBAI,desa
1572030006,GEDANG,15.72.01.2006,GEDANG,desa
1572030007,PASAR BARU,15.72.01.2004,PASAR BARU,desa
1572030008,SUNGAI PENUH,15.72.01.1003,PASAR SUNGAI PENUH,desa
1572030013,AMAR SAKTI,15.72.01.2014,AMAR SAKTI,desa
1572031001,SUNGAI JERNIH,15.72.06.2001,SUNGAI JERNIH,desa
1572031002,KOTO LEBU,15.72.06.2007,KOTO LEBU,desa
1572031003,KARYA BAKTI,15.72.06.2006,KARYA BAKTI,desa
1572031004,LAWANG AGUNG,15.72.06.2005,LAWANG AGUNG,desa
1572031005,PONDOK TINGGI,15.72.06.1008,PONDOK TINGGI,desa
1572031006,PERMANTI,15.72.06.2004,PERMANTI,desa
1572031007,PONDOK AGUNG,15.72.06.2003,PONDOK AGUNG,desa
1572031008,AUR DURI,15.72.06.2002,AUR DURI,desa
1572032001,SUMUR ANYIR,15.72.08.2001,SUMUR ANYIR,desa
1572032002,PELAYANG RAYA,15.72.08.2004,PELAYANG RAYA,desa
1572032003,TALANG LINDUNG,15.72.08.2003,TALANG LINDUNG,desa
1572032004,SUNGAI NING,15.72.08.2006,SUNGAI NING,desa
1572032005,KOTO TINGGI,15.72.08.2002,KOTO TINGGI,desa
1572032006,DUSUN BARU,15.72.08.1005,DUSUN BARU,desa
1572040001,TANJUNG MUDA,15.72.03.2012,TANJUNG MUDA,desa
1572040002,TANJUNG,15.72.03.2004,TANJUNG,desa
1572040003,PALING SERUMPUN,15.72.03.2010,PALING SERUMPUN,desa
1572040004,SIMPANG TIGA RAWANG,15.72.03.2007,SIMPANG TIGA RAWANG,desa
1572040005,DUSUN DIILIR,15.72.03.2009,DUSUN DIILIR,desa
1572040006,KAMPUNG DIILIR,15.72.03.2001,KAMPUNG DIILIR,desa
1572040007,KOTO TELUK,15.72.03.2005,KOTO TELUK,desa
1572040008,CEMPAKA,15.72.03.2013,CEMPAKA,desa
1572040009,KOTO BERINGIN,15.72.03.2002,KOTO BERINGIN,desa
1572040010,MALIKI AIR,15.72.03.2003,MALIKI AIR,desa
1572040011,KAMPUNG DALAM,15.72.03.2006,KAMPUNG DALAM,desa
1572040012,LARIK KEMAHAN,15.72.03.2008,LARIK KEMAHAN,desa
1572040013,KOTO DIAN,15.72.03.2011,KOTO DIAN,desa
1572050001,KOTO RENAH,15.72.02.2001,KOTO RENAH,desa
1572050002,KOTO KERAS,15.72.02.2002,KOTO KERAS,desa
1572050007,KOTO BENTO,15.72.02.2003,KOTO BENTO,desa
1572050008,KOTO TENGAH,15.72.02.2005,KOTO TENGAH,desa
1572050009,KOTO LOLO,15.72.02.2004,KOTO LOLO,desa
1572050010,KOTO DUA,15.72.02.2008,KOTO DUO,desa
1572050011,SEBERANG,15.72.02.2011,SEBERANG,desa
1572050012,SUMUR GEDANG,15.72.02.2015,SUMUR GEDANG,desa
1572050013,SUNGAI LIUK,15.72.02.2010,SUNGAI LIUK,desa
1572051001,BARU SRI MENANTI,15.72.07.2006,SRIMENANTI,desa
1572051002,KOTO LIMAU MANIS,15.72.07.2002,KOTO LIMAU MANIS,desa
1572051003,KOTO BARU,15.72.07.2001,KOTO BARU,desa
1572051004,PERMAI INDAH,15.72.07.2005,PERMAI INDAH,desa
1572051005,KAMPUNG TENGAH,15.72.07.2003,KAMPUNG TENGAH,desa
1572051006,DUJUNG SAKTI,15.72.07.2004,DUJUNG SAKTI,desa
1601052001,BANDAR JAYA,16.01.28.2001,BANDAR JAYA,desa
1601052002,KARANG ENDAH,16.01.28.2002,KARANG ENDAH,desa
1601052003,PAJAR BULAN,16.01.28.2003,PAJAR BULAN,desa
1601052004,PAGAR DEWA,16.01.28.2004,PAGAR DEWA,desa
1601052005,TANJUNG LENGKAYAP,16.01.28.2006,TANJUNGLENGKAYAP,desa
1601052006,BUMI KAWA,16.01.28.2005,BUMI KAWA,desa
1601052007,NEGERI RATU,16.01.28.2008,NEGERI RATU,desa
1601052008,LUBUK DALAM,16.01.28.2007,LUBUK DALAM,desa
1601052009,SEGARA KEMBANG,16.01.28.2009,SEGARA KEMBANG,desa
1601052010,SUKARAJA,16.01.28.2012,SUKARAJA,desa
1601052011,GEDUNG PAKUAN,16.01.28.2014,GEDUNG PEKUON,desa
1601052012,TUALANG,16.01.28.2015,TUALANG,desa
1601052013,SUNDAN,16.01.28.2016,SUNDAN,desa
1601052014,TIHANG,16.01.28.2010,TIHANG,desa
1601052015,LUBUK HARA,16.01.28.2011,LUBUK HARA,desa
1601052016,NEGERI AGUNG,16.01.28.2013,NEGERI AGUNG,desa
1601052017,WAY HELING,16.01.28.2018,WAY HELING,desa
1601052018,BUNGA TANJUNG,16.01.28.2017,BUNGA TANJUNG,desa
1601052019,UMPAM,16.01.28.2019,UMPAM,desa
1601052020,TANJUNG AGUNG,16.01.28.2022,TANJUNGAGUNG,desa
1601052021,SIMPANG EMPAT,16.01.28.2021,SIMPANG EMPAT,desa
1601052022,FAJAR JAYA,16.01.28.2020,FAJAR JAYA,desa
1601070001,NEGERI SINDANG,16.01.07.2001,NEGERI SINDANG,desa
1601070002,RANTAU KUMPAI,16.01.07.2002,RANTAU KUMPAI,desa
1601070003,TUNGKU JAYA,16.01.07.2008,TUNGKU JAYA,desa
1601070004,LUBUK BARU,16.01.07.2003,LUBUK BARU,desa
1601070005,BANDAR,16.01.07.2006,BANDAR,desa
1601070006,LUBUK LEBAN,16.01.07.2007,LUBUK LEBAN,desa
1601070007,PENYANDINGAN,16.01.07.2005,PENYANDINGAN,desa
1601070008,KUNGKILAN,16.01.07.2004,KUNGKILAN,desa
1601070009,MEKAR JAYA,16.01.07.2010,MEKAR JAYA,desa
1601070010,PENANTIAN,16.01.07.2011,PENANTIAN,desa
1601070011,MEKAR SARI,16.01.07.2009,MEKAR SARI,desa
1601080008,GUNUNG MERAKSA,16.01.08.2001,GUNUNG MERAKSA,desa
1601080010,TANJUNG PURA,16.01.08.2003,TANJUNG PURA,desa
1601080011,TANJUNG SARI,16.01.08.2004,TANJUNG SARI,desa
1601080012,TANGSI LONTAR,16.01.08.2005,TANGSI LONTAR,desa
1601080017,BELAMBANGAN,16.01.08.2006,BELAMBANGAN,desa
1601080018,KESAMBI RATA,16.01.08.2007,KESAMBIRATA,desa
1601080021,GUNUNG LIWAT,16.01.08.2008,GUNUNG LIWAT,desa
1601080022,SEMANDING,16.01.08.2016,SEMANDING,desa
1601080023,PENGANDONAN,16.01.08.2015,PENGANDONAN,desa
1601080024,TANJUNGAN,16.01.08.2017,TANJUNGAN,desa
1601080025,UJAN MAS,16.01.08.2018,UJANMAS,desa
