kode_bps,nama_bps,kode_dagri,nama_dagri,level
7306061001,PATTALLIKANG,73.06.14.2002,PATTALLIKANG,desa
7306061002,MONCONGLOE,73.06.14.2004,MONCONGLOE,desa
7306061003,MANUJU,73.06.14.2001,MANUJU,desa
7306061004,TAMALATEA,73.06.14.2003,TAMALATEA,desa
7306061010,BILALANG,73.06.14.2005,BILALANG,desa
7306061011,TASSESE,73.06.14.2006,TASSESE,desa
7306061012,TANA KARAENG,73.06.14.2007,TANA KARAENG,desa
7306070006,PARIGI,73.06.04.2004,PARIGI,desa
7306070007,BULUTANA,73.06.04.1002,BULUTTANA,desa
7306070008,MALINO,73.06.04.1001,MALINO,desa
7306070009,GANTARANG,73.06.04.1003,GANTARANG,desa
7306070010,PATTAPANG,73.06.04.1010,PATTAPANG,desa
7306070011,BONTO LERUNG,73.06.04.1011,BONTO LERUNG,desa
7306070012,GARASSI,73.06.04.1012,GARASSI,desa
7306071001,KANREAPIA,73.06.10.2004,KANREAPIA,desa
7306071002,BALASSUKA,73.06.10.2006,BALASSUKA,desa
7306071003,TABBINJAI,73.06.10.2002,TA'BINJAI,desa
7306071004,MAMAMPANG,73.06.10.2007,MAMAMPANG,desa
7306071005,TONASA,73.06.10.2008,TONASA,desa
7306071006,TAMAONA,73.06.10.1001,TAMAONA,desa
7306071007,PAO,73.06.10.2005,PAO,desa
7306071008,ERELEMBANG,73.06.10.2003,ERELEMBANG,desa
7306071009,BOLAROMANG,73.06.10.2009,BOLAROMANG,desa
7306072001,SICINI,73.06.17.2004,SICINI,desa
7306072002,BILANRENGI,73.06.17.2005,BILANRENGI,desa
7306072003,MANIMBAHOI,73.06.17.2003,MANIMBAHOI,desa
7306072004,MAJANNANG,73.06.17.2001,MAJANNANG,desa
7306072005,JONJO,73.06.17.2002,JONJO,desa
7306080003,BISSOLORO,73.06.09.2004,BISSOLORO,desa
7306080004,BUAKKANG,73.06.09.2003,BUAKKANG,desa
7306080005,BONTOMANAI,73.06.09.2002,BONTOMANAI,desa
7306080006,SAPAYA,73.06.09.1001,SAPAYA,desa
7306080015,RANNALOE,73.06.09.2011,RANNALOE,desa
7306080016,MANGEMPANG,73.06.09.2012,MANGEMPANG,desa
7306080017,JENEBATU,73.06.09.1010,JE'NEBATU,desa
7306081007,PALADINGANG,73.06.15.2005,PA'LADINGANG,desa
7306081008,BONTOLOE,73.06.15.2004,BONTOLOE,desa
7306081009,LASSA LASSA,73.06.15.2003,LASSA-LASSA,desa
7306081010,BONTOLEMPANGAN,73.06.15.2002,BONTOLEMPANGANG,desa
7306081011,JULUMATENE,73.06.15.2001,JULUMATE'NE,desa
7306081012,PARANG LAMPOA,73.06.15.2006,PARANGLOMPOA,desa
7306081013,BONTOTANGNGA,73.06.15.2007,BONTOTANGNGA,desa
7306081014,ULUJANGAN,73.06.15.2008,ULUJANGANG,desa
7306090005,GARING,73.06.03.2003,GARING,desa
7306090006,BONTOBUDDUNG,73.06.03.2008,BONTOBUDDUNG,desa
7306090007,TANETE,73.06.03.2007,TANETE,desa
7306090008,CIKORO,73.06.03.1002,CIKORO,desa
7306090009,RAPPOLEMBA,73.06.03.2005,RAPPOLEMBA,desa
7306090010,RAPPOALA,73.06.03.2006,RAPPOALA,desa
7306090011,MALAKAJI,73.06.03.1001,MALAKAJI,desa
7306090012,DATARA,73.06.03.2004,DATARA,desa
7306091001,BERUTALLASA,73.06.11.2005,BERUTALLASA,desa
7306091002,PENCONG,73.06.11.2003,PENCONG,desa
7306091003,PARANGLOE,73.06.11.2006,PARANGLOE,desa
7306091004,LEMBANGLOE,73.06.11.2010,LEMBANGLOE,desa
7306091005,TARING,73.06.11.2001,TARING,desa
7306091006,TONRORITA,73.06.11.1002,TONRORITA,desa
7306091007,BORIMASUNGGU,73.06.11.2009,BORIMASUNGGU,desa
7306091008,LAUWA,73.06.11.1004,LAUWA,desa
7306091009,BATURAPPE,73.06.11.2007,BATURAPPE,desa
7306091010,BATUMALONRO,73.06.11.2008,BATUMALONRO,desa
7306091011,JULUKANAYA,73.06.11.2011,JULUKANAYA,desa
7307010001,GUNUNG PERAK,73.07.01.2003,GUNUNG PERAK,desa
7307010002,BALAKIA,73.07.01.1002,BALAKIA,desa
7307010003,TASSILILU,73.07.01.1001,TASSILILU,desa
7307010004,ARABIKA,73.07.01.2004,ARABIKA,desa
7307010005,BARANIA,73.07.01.2007,BARANIA,desa
7307010006,BOTO LEMPANGAN,73.07.01.2008,BOTO LEMPANGAN,desa
7307010007,BONTO SALAMA,73.07.01.2005,BONTO SALAMA,desa
7307010008,TURUNGAN BAJI,73.07.01.2006,TURUNGAN BAJI,desa
7307010009,TERASA,73.07.01.2009,TERASA,desa
7307020001,BATU BELERANG,73.07.07.2002,BATU BELERANG,desa
7307020002,KASSI BULENG,73.07.07.2006,KASSI BULENG,desa
7307020003,PASIR PUTIH,73.07.07.1001,PASIR PUTIH,desa
7307020004,BONTO SINALA,73.07.07.2005,BONTO SINALA,desa
7307020005,BIJI NANGKA,73.07.07.2003,BIJI NANGKA,desa
7307020006,BARAMBANG,73.07.07.2004,BARAMBANG,desa
7307020007,BONTO KATUTE,73.07.07.2007,BONTO KATUTE,desa
7307020008,BONTO TENGNGA,73.07.07.2008,BONTO TENGNGA,desa
7307030001,PALANGKA,73.07.02.2008,PALANGKA,desa
7307030002,SANGIASSERI,73.07.02.1001,SANGIANSERI,desa
7307030003,PUNCAK,73.07.02.2002,PUNCAK,desa
7307030004,POLEWALI,73.07.02.2009,POLEWALI,desa
7307030005,SONGING,73.07.02.2003,SONGING,desa
7307030007,ASKA,73.07.02.2004,ASKA,desa
7307030008,PALAE,73.07.02.2006,PALAE,desa
7307030009,TALLE,73.07.02.2005,TALLE,desa
7307030010,BULU KAMASE,73.07.02.2007,BULU KAMASE,desa
7307030011,ALENANGKA,73.07.02.2011,ALENANGKA,desa
7307030012,GARECCING,73.07.02.2010,GARECCING,desa
7307040001,KALOBBA,73.07.08.2003,KALOBBA,desa
7307040002,MANNANTI,73.07.08.1001,MANNANTI,desa
7307040003,TELLU LIMPOE,73.07.08.2004,TELLU LIMPOE,desa
7307040004,ERABARU,73.07.08.2010,ERA BARU,desa
7307040005,PATTONGKO,73.07.08.2007,PATTONGKO,desa
7307040006,BUA,73.07.08.2008,BUA,desa
7307040007,SUKAMAJU,73.07.08.2009,SUKA MAJU,desa
7307040008,LEMBANG LOHE,73.07.08.2006,LEMBANG LOHE,desa
7307040009,SAOTENGAH,73.07.08.2002,SAOTENGAH,desa
7307040010,MASSAILE,73.07.08.2005,MASSAILE,desa
7307040011,SAMATURUE,73.07.08.2011,SAMATURUE,desa
7307050001,BIRORO,73.07.03.2008,BIRORO,desa
7307050002,LASIAI,73.07.03.2007,LASIAI,desa
7307050003,SANJAI,73.07.03.2002,SANJAI,desa
7307050004,PASIMARANNU,73.07.03.2010,PASIMARANNU,desa
7307050005,PATTALASSANG,73.07.03.2003,PATTALASSANG,desa
7307050006,PANAIKANG,73.07.03.2004,PANAIKANG,desa
7307050007,SAMATARING,73.07.03.1001,SEMATARING,desa
7307050008,KALOLING,73.07.03.2009,KALOLING,desa
7307050009,SAUKANG,73.07.03.2005,SAUKANG,desa
7307050010,KAMPALA,73.07.03.2006,KAMPALA,desa
7307050011,TONGKE-TONGKE,73.07.03.2011,TONGKE-TONGKE,desa
7307050012,SALOHE,73.07.03.2012,SALOHE,desa
7307050013,BONGKI LENGKESE,73.07.03.2013,BONGKI LENGKESE,desa
7307060001,KOMPANG,73.07.04.2003,KOMPANG,desa
7307060002,SAOTANRE,73.07.04.2009,SAOTANRE,desa
7307060003,BARU,73.07.04.2004,BARU,desa
7307060004,SAOTENGNGA,73.07.04.2006,SAOTENGNGA,desa
7307060005,PATTONGKO,73.07.04.2005,PATTONGKO,desa
7307060006,BONTO,73.07.04.2010,BONTO,desa
7307060007,SAOHIRING,73.07.04.2007,SAOHIRING,desa
7307060008,KANRUNG,73.07.04.2008,KANRUNG,desa
7307060009,SAMAENRE,73.07.04.1001,SAMAENRE,desa
7307060010,MATTUNRENG TELLUE,73.07.04.2002,MATTUNRENG TELLUE,desa
7307060011,GANTARANG,73.07.04.2011,GANTARANG,desa
7307070001,ALEWANUAE,73.07.05.1006,ALEHANUAE,desa
7307070002,BIRINGERE,73.07.05.1001,BIRINGERE,desa
7307070003,LAMATTI RILAU,73.07.05.1002,LAMATTI RILAU,desa
7307070004,BONGKI,73.07.05.1005,BONGKI,desa
7307070005,BALANGNIPA,73.07.05.1003,BALANGNIPA,desa
7307070006,LAPPA,73.07.05.1004,LAPPA,desa
7307080001,TOMPOBULU,73.07.06.2005,TOMPOBULU,desa
7307080002,BULU TELLUE,73.07.06.2003,BULU TELLUE,desa
7307080003,DUAMPANUAE,73.07.06.2004,DUAMPANUAE,desa
7307080004,LAMATTI RIATTANG,73.07.06.2001,LAMATTI RIATTANG,desa
7307080005,LAMATTI RIAJA,73.07.06.2002,LAMATTI RIAJA,desa
7307080006,LAMATTI RIAWANG,73.07.06.2006,LAMATTI RIAWANG,desa
7307080007,LAPPA CINRANA,73.07.06.2007,LAPPACINRANA,desa
